"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"29","1023.txt","public synchronized int getMaxPermits() {","public int getMaxPermits() {","public synchronized void setMaxPermits(int newMax) {",64,32,1
"30","1024.txt","Derby - Class org.apache.derbyTesting.functionTests.harness.ibm16","Derby - Class org.apache.derbyTesting.functionTests.harness.ibm15","Derby - Class org.apache.derbyTesting.functionTests.harness.ibm15",3,3,0
"31","1025.txt","zkClientTimeout);","zkClientTimeout, true);","zkClientTimeout, true);",98,98,0
"32","1026.txt","if (newDoc != NO_MORE_DOCS) {","if (newDoc != DocsEnum.NO_MORE_DOCS) {","if (newDoc != DocsEnum.NO_MORE_DOCS) {",163,163,0
"33","1027.txt","code = 31 * code + bytes[pos++];","code = BytesRef.HASH_PRIME * code + bytes[pos++];","code = BytesRef.HASH_PRIME * code + bytes[pos++];",435,435,0
"34","1028.txt","0, 0);","0, 0, false);","0,",731,1268,1
"35","1029.txt","if (""false"".equals(args.get(""wait"")) || Boolean.FALSE.equals(args.get(""wait""))) wait=false;","if (""false"".equals(args.get(""wait""))) wait=false;","if (""false"".equals(args.get(""wait""))) wait=false;",59,59,0
"36","103.txt","ResultAnalyzer resultAnalyzer = new ResultAnalyzer(model.getLabels(), defaultCat);","ResultAnalyzer resultAnalyzer = new ResultAnalyzer(model.getLabels());","ResultAnalyzer resultAnalyzer = new ResultAnalyzer(model.getLabels());",171,171,0
"37","1030.txt","FieldsEnum fenum2 = MultiFields.getFields(index2).iterator();","FieldsEnum fenum2 = MultiFields.getFields(index1).iterator();","FieldsEnum fenum2 = MultiFields.getFields(index1).iterator();",616,616,0
"38","1031.txt","documentsWriter.infoStream.message(""DWFC"", ""addFlushableState "" + perThread.dwpt);","documentsWriter.infoStream.message(""DWFC"", Thread.currentThread().getName() + "": addFlushableState "" + perThread.dwpt);","documentsWriter.infoStream.message(""DWFC"", Thread.currentThread().getName() + "": addFlushableState "" + perThread.dwpt);",485,485,0
"39","1032.txt","s += "" "" + numTermDeletes.get() + "" deleted terms (unique count="" + terms.size() + "")"";","s += "" "" + numTermDeletes.get() + "" deleted terms (unique count="" + terms.size() + "") terms="" + terms.keySet();","s += "" "" + numTermDeletes.get() + "" deleted terms (unique count="" + terms.size() + "") terms="" + terms.keySet();",96,96,0
"40","1033.txt","if (e.getMessage() == null) {","if (e.getMessage().equals(null)) {","if (e.getMessage().equals(null)) {",545,545,0
"41","1034.txt","if (e.getMessage() == null) {","if (e.getMessage().equals(null)) {","if (e.getMessage().equals(null)) {",174,174,0
"42","1035.txt","if (e.getMessage() == null) {","if (e.getMessage().equals(null)) {","if (e.getMessage().equals(null)) {",139,139,0
"43","1036.txt","return grid.getLevelForDistance(degrees);","return grid.getLevelForDistance(degrees) + 1;//returns 1 greater","return grid.getLevelForDistance(degrees) + 1;//returns 1 greater",44,44,0
"44","1037.txt","return grid.getLevelForDistance(degrees);","return grid.getLevelForDistance(degrees) + 1;//returns 1 greater","return grid.getLevelForDistance(degrees) + 1;//returns 1 greater",43,43,0
"45","1038.txt","UAX29URLEmailTokenizer tokenizer = new UAX29URLEmailTokenizer(luceneMatchVersion, input);","UAX29URLEmailTokenizer tokenizer = new UAX29URLEmailTokenizer(input);","UAX29URLEmailTokenizer tokenizer = new UAX29URLEmailTokenizer(input);",54,54,0
"46","1039.txt","throws IOException, StandardException {","throws IOException, SQLException, StandardException {","throws IOException, SQLException {",182,98,1
"47","104.txt","assertTrue(result + "" is not equal to "" + ""d"", result.getLabel().equals(""d""));//GSI: was unknown, but we now just pick the first cat","assertTrue(result + "" is not equal to "" + ""unknown"", result.getLabel().equals(""unknown""));","assertTrue(result + "" is not equal to "" + ""unknown"", result.getLabel().equals(""unknown""));",85,85,0
"48","1040.txt","bindOperand(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,",77,77,0
"49","1041.txt","bindOperand(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,",93,93,0
"50","1042.txt","bindOperand(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,","super.bindExpression(fromList, subqueryList,",97,97,0
"51","1043.txt","cs.setString(2, ""TESTLONGVARCHAR"");","cs.setString(2, ""testLongVarChar"");","cs.setString(1, ""APP"");",956,955,0.761594155955765
"52","1044.txt","return ""http://"" + hostAndPort + (path.isEmpty() ? """" : (""/"" + path));","return ""http://"" + hostAndPort + ""/"" + path;","return;",487,422,1
"53","1045.txt","final int numFields = RandomInts.randomIntBetween(random(), 500000, 1000000);","final int numFields = atLeast(1000000);","final int numFields = atLeast(1000000);",316,316,0
"54","1046.txt","public void flushBuffer(byte[] src, int len) throws IOException {","public void flushBuffer(byte[] src, int len) {","public void flushBuffer(byte[] src, int len) {",69,69,0
"55","1047.txt","if (!!!it.next().isInterface()) it.remove();","if (it.next().isInterface()) it.remove();","if (it.next().isInterface()) it.remove();",40,40,0
"56","1048.txt","return sqlStateSQL99;","return JDBC30Translation.SQL_STATE_SQL99;","return false;",3265,249,1
"57","1049.txt","System.arraycopy(tmp, 0, bytes, 0, (maxRead >= pos) ? maxRead + 1 : pos);","System.arraycopy(tmp, 0, bytes, 0, pos);","System.arraycopy(tmp, 0, bytes, 0, pos);",106,106,0
"58","105.txt","assertTrue(result + "" is not equal to "" + ""d"", result.getLabel().equals(""d""));","assertTrue(result + "" is not equal to "" + ""unknown"", result.getLabel().equals(""unknown""));","assertTrue(result + "" is not equal to "" + ""e"", result.getLabel().equals(""e""));",92,87,0.999909204262595
"59","1050.txt","int liveColumns = cf == null ? 0 : cf.getLiveColumnCount();","int liveColumns = cf.getLiveColumnCount();","int liveColumns = cf.getLiveColumnCount();",82,82,0
"60","1051.txt","return sb.toString();","return super.toString();","return super.toString();",73,73,0
"61","1052.txt","if (header.isSafeToDelete() && iter.hasNext())","if (header.isSafeToDelete())","if (header.isSafeToDelete())",467,467,0
"62","1053.txt","if (jvmflags != null && jvmflags.length() > 0)","if (jvmflags != null)","if ((jvmflags != null) && (jvmflags.length() > 0))",1613,914,1
"63","1054.txt","this.qWeight = q.createWeight(searcher);","this.qWeight = q.weight(searcher);","this.qWeight = q.weight(searcher);",70,70,0
"64","1055.txt","Scorer spanScorer = searcher.createNormalizedWeight(snq).scorer(searcher.getIndexReader(), true, false);","Scorer spanScorer = snq.weight(searcher).scorer(searcher.getIndexReader(), true, false);","Scorer spanScorer = snq.weight(searcher).scorer(searcher.getIndexReader(), true, false);",423,423,0
"65","1056.txt","public Weight createNormalizedWeight(Query query) throws IOException {","protected Weight createWeight(Query query) throws IOException {","protected Weight createWeight(Query query) throws IOException {",44,44,0
"66","1057.txt","final Weight w = searcher.createNormalizedWeight(query);","final Weight w = query.weight(searcher);","final Weight w = query.weight(searcher);",194,194,0
"67","1058.txt","final Weight weight = new IndexSearcher(reader).createNormalizedWeight(query);","final Weight weight = query.weight(new IndexSearcher(reader));","final Weight weight = query.weight(new IndexSearcher(reader));",47,47,0
"68","1059.txt","this.subQueryWeight = subQuery.createWeight(searcher);","this.subQueryWeight = subQuery.weight(searcher);","this.subQueryWeight = subQuery.weight(searcher);",192,192,0
"69","106.txt","public double documentWeight(Model model, String label, String[] document);","public double documentProbability(Model model, String label, String[] document);","public double documentProbability(Model model, String label, String[] document);",62,62,0
"70","1060.txt","Weight w = searcher.createNormalizedWeight(q);","Weight w = q.weight(searcher);","Weight w = q.weight(searcher);",115,115,0
"71","1061.txt","final Weight w = topSearcher.createNormalizedWeight(query);","final Weight w = query.weight(topSearcher);","final Weight w = query.weight(topSearcher);",911,911,0
"72","1062.txt","assert !isBootstrapMode; // bootstrap will block until finished","assert !isBootstrapMode; // bootstrap will block until finishec","assert token != null; // should not be called before initServer sets this",399,1141,1
"73","1063.txt","log.info(""Leader's attempt to sync with shard failed, moving to the next candidate"");","log.info(""Leader's attempt to sync with shard failed, moving to the next canidate"");","log.info(""Leader's attempt to sync with shard failed, moving to the next canidate"");",149,149,0
"74","1064.txt","public boolean preload_row_cache = CFMetaData.DEFAULT_PRELOAD_ROW_CACHE;","public boolean preloadRowCache = CFMetaData.DEFAULT_PRELOAD_ROW_CACHE;","public boolean preloadRowCache = CFMetaData.DEFAULT_PRELOAD_ROW_CACHE;",12,12,0
"75","1065.txt","cfDefs[j++] = new CFMetaData(keyspace.name, cf.name, columnType, comparator, subcolumnComparator, cf.comment, cf.rows_cached, cf.preload_row_cache, cf.keys_cached, cf.read_repair_chance);","cfDefs[j++] = new CFMetaData(keyspace.name, cf.name, columnType, comparator, subcolumnComparator, cf.comment, cf.rows_cached, cf.preloadRowCache, cf.keys_cached, cf.read_repair_chance);","cfDefs[j++] = new CFMetaData(keyspace.name, cf.name, columnType, comparator, subcolumnComparator, cf.comment, cf.rows_cached, cf.preloadRowCache, cf.keys_cached, cf.read_repair_chance);",490,490,0
"76","1066.txt","return Math.max(Math.abs(f1), Math.abs(f2)) * EXPLAIN_SCORE_TOLERANCE_DELTA;","return Math.max(f1, f2) * EXPLAIN_SCORE_TOLERANCE_DELTA;","return Math.max(f1, f2) * EXPLAIN_SCORE_TOLERANCE_DELTA;",309,309,0
"77","1067.txt","timeoutFuture = executors.schedule(r, timeout, TimeUnit.MILLISECONDS);","timeoutFuture = executors.schedule(r, 10, TimeUnit.SECONDS);","timeoutFuture = executors.schedule(r, 10, TimeUnit.SECONDS);",298,298,0
"78","1068.txt","Directory dir = newFSDirectory(_TestUtil.getTempDir(""longpostings"" + ""."" + random.nextLong()));","Directory dir = newFSDirectory(new File(LuceneTestCase.TEMP_DIR, ""longpostings"" + ""."" + random.nextLong()));","Directory dir = newFSDirectory(new File(LuceneTestCase.TEMP_DIR, ""longpostings"" + ""."" + random.nextLong()));",69,69,0
"79","1069.txt","indexDir = _TestUtil.getTempDir(""IndexReaderReopen"");","indexDir = new File(TEMP_DIR, ""IndexReaderReopen"");","indexDir = new File(TEMP_DIR, ""IndexReaderReopen"");",1089,1089,0
"80","107.txt","if (dto.numTerms() == 0) {","if (te == null) {","if (s.length() > 0) {",327,101,1
"81","1070.txt","tempDir = _TestUtil.getTempDir(""jrecrash"");","tempDir = File.createTempFile(""jrecrash"", ""tmp"", TEMP_DIR);","tempDir = File.createTempFile(""jrecrash"", ""tmp"", TEMP_DIR);",44,44,0
"82","1071.txt","File dirFile = _TestUtil.getTempDir(""deletetest"");","File dirFile = new File(TEMP_DIR, ""deletetest"");","File dirFile = _TestUtil.getTempDir(""TestIndexReader.testFilesOpenClose"");",1131,708,1
"83","1072.txt","Directory dir = newFSDirectory(_TestUtil.getTempDir(""emptyFSDirNoLock""), NoLockFactory.getNoLockFactory());","Directory dir = newFSDirectory(new File(TEMP_DIR, ""emptyFSDirNoLock""), NoLockFactory.getNoLockFactory());","Directory dir = newFSDirectory(new File(TEMP_DIR, ""emptyFSDirNoLock""), NoLockFactory.getNoLockFactory());",2816,2816,0
"84","1073.txt","workDir = _TestUtil.getTempDir(""TestMultiMMap"");","workDir = new File(TEMP_DIR, ""TestMultiMMap"");","workDir = new File(TEMP_DIR, ""TestMultiMMap"");",44,44,0
"85","1074.txt","File indexDir = _TestUtil.getTempDir(""testSetBufferSize"");","File indexDir = new File(TEMP_DIR, ""testSetBufferSize"");","File indexDir = new File(TEMP_DIR, ""testSetBufferSize"");",242,242,0
"86","1075.txt","+""\"" must be 'max of plus x times others' or end with 'product of'""","+""\"" must be 'max of plus x times others' or end with 'prodoct of'""","+""\"" must be 'max of plus x times others' or end with 'prodoct of'""",330,330,0
"87","1076.txt","outputProp.store(os,","outputProp.save(os,","outputProp.save(os,",316,316,0
"88","1077.txt","if (si.getHasVectors()) { // open term vector files only as needed","if (fieldInfos.hasVectors()) { // open term vector files only as needed","if (fieldInfos.hasVectors()) { // open term vector files only as needed",246,246,0
"89","1078.txt","private Set<InetAddress> replicatingNodes = Collections.synchronizedSet(new HashSet<InetAddress>());","private Set<InetAddress> replicatingNodes = new Collections.synchronizedSet(new HashSet<InetAddress>());","private Set<InetAddress> replicatingNodes = new Collections.synchronizedSet(new HashSet<InetAddress>());",172,172,0
"90","1079.txt","averages = new float[initialPageCount];","averages = new float[pageSize];","averages = new float[pageSize];",46,46,0
"91","108.txt","return IndexFileNames.fileNameFromGeneration(name, IndexFileNames.SEPARATE_NORMS_EXTENSION + number, normGen.get(number));","return IndexFileNames.fileNameFromGeneration(name, ""s"" + number, normGen.get(number));","return IndexFileNames.fileNameFromGeneration(name, IndexFileNames.DELETES_EXTENSION, delGen);",439,375,1
"92","1080.txt","private volatile Aliases aliases = new Aliases();","private Aliases aliases = new Aliases();","private Aliases aliases = new Aliases();",183,183,0
"93","1081.txt","value.getBytes(), System.currentTimeMillis(), ConsistencyLevel.ONE);","value.getBytes(), System.currentTimeMillis(), 1);","value.getBytes(), System.currentTimeMillis(), 1);",200,200,0
"94","1082.txt","File file = new File(core.getNewIndexDir(), fileName);","File file = new File(core.getIndexDir(), fileName);","File file = new File(core.getIndexDir(), fileName);",381,381,0
"95","1083.txt","sb.append(""\t"" + ""fieldNames     : "");","sb.append(""\t"" + ""fieldNames     : \"""");","sb.append(""\t"" + ""fieldNames     : \"""");",655,655,0
"96","1084.txt","if (fi.normsPresent()) {","if (fi.isIndexed && !fi.omitNorms) {","if (fi.storeTermVector) {",407,398,0.999999969540041
"97","1085.txt","int partitionSize = facetArrays.arrayLength;","int partitionSize = facetArrays.getArraysLength();","int partitionSize = facetArrays.getArraysLength();",157,157,0
"98","1086.txt","int partitionSize = arrays.arrayLength; // all partitions, except, possibly, the last,","int partitionSize = arrays.getArraysLength(); // all partitions, except, possibly, the last,","int partitionSize = arrays.getArraysLength(); // all partitions, except, possibly, the last,",122,122,0
"99","1087.txt","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + MAKEPATH + "" /apache/solr"");","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + MAKEPATH + "" /apache/solr/data.txt 'config data'"");","System.out.println(""zkcli.sh -zkhost localhost:9983 -cmd "" + CLEAR + "" /solr"");",132,134,0.964027580075817
"100","1088.txt","String name = URLDecoder.decode( kv, charset );","String name = URLDecoder.decode( kv, ""UTF-8"" );","String name = URLDecoder.decode( kv, ""UTF-8"" );",220,220,0
"101","1089.txt","if (rows.size() == 1 && !shouldPurge && rows.get(0).sstable.descriptor.isLatestVersion)","if (rows.size() == 1 && !shouldPurge)","if (rows.size() == 1 && !shouldPurge)",97,97,0
"102","109.txt","CFMetaData.createCompactionStrategy(compactionStrategy);","CFMetaData.createCompactionSrategy(compactionStrategy);","CFMetaData.createCompactionSrategy(compactionStrategy);",319,319,0
"103","1090.txt","if (rows.size() > 1 || shouldPurge || !rows.get(0).sstable.descriptor.isLatestVersion)","if (rows.size() > 1 || shouldPurge)","if (rows.size() > 1 || shouldPurge)",70,70,0
"104","1091.txt","return ""2"";","return ""1"";","return ""1"";",48,48,0
"105","1092.txt","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getSolrCoreState().getIndexWriter(core);","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getIndexWriterProvider().getIndexWriter(core);","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getIndexWriterProvider().getIndexWriter(core);",51,51,0
"106","1093.txt","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getSolrCoreState().getIndexWriter(core);","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getIndexWriterProvider().getIndexWriter(core);","IndexWriter writer = ((DirectUpdateHandler2)core.getUpdateHandler()).getIndexWriterProvider().getIndexWriter(core);",124,124,0
"107","1094.txt","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getSolrCoreState().getIndexWriter(h.getCore());","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getIndexWriterProvider().getIndexWriter(h.getCore());","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getIndexWriterProvider().getIndexWriter(h.getCore());",36,36,0
"108","1095.txt","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getSolrCoreState().getIndexWriter(h.getCore());","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getIndexWriterProvider().getIndexWriter(h.getCore());","IndexWriter writer = ((DirectUpdateHandler2)h.getCore().getUpdateHandler()).getIndexWriterProvider().getIndexWriter(h.getCore());",119,119,0
"109","1096.txt","public abstract SolrCoreState getSolrCoreState();","public abstract SolrCoreState getIndexWriterProvider();","public abstract SolrCoreState getIndexWriterProvider();",144,144,0
"110","1097.txt","public SolrCoreState getSolrCoreState() {","public SolrCoreState getIndexWriterProvider() {","public SolrCoreState getIndexWriterProvider() {",562,562,0
"111","1098.txt","directoryFactory = updateHandler.getSolrCoreState().getDirectoryFactory();","directoryFactory = updateHandler.getIndexWriterProvider().getDirectoryFactory();","directoryFactory = updateHandler.getIndexWriterProvider().getDirectoryFactory();",564,564,0
"112","1099.txt","disconnectedTimer = new Timer(true);","disconnectedTimer = new Timer();","disconnectedTimer = new Timer();",78,78,0
"113","11.txt","Query query = new QueryParser(""contents"",analyzer).parse(""test"");","Query query = QueryParser.parse(""test"", ""contents"", analyzer);","Query query = QueryParser.parse(""test"", ""contents"", analyzer);",76,76,0
"114","110.txt","SolrRequestHandler handler = core.getRequestHandler(""/update/json"");","SolrRequestHandler handler = core.getRequestHandler(""/udate/json"");","SolrRequestHandler handler = core.getRequestHandler(""/udate/json"");",662,662,0
"115","1100.txt","public FilteredTermEnum() throws IOException {}","public FilteredTermEnum(IndexReader reader, Term term) throws IOException {}","public FilteredTermEnum(IndexReader reader, Term term) throws IOException {}",32,32,0
"116","1101.txt","super();","super(reader, term);","super(reader, term);",38,38,0
"117","1102.txt","super();","super(reader, term);","super(reader, term);",48,48,0
"118","1103.txt","public <T> T newInstance(String cname, Class<T> expectedType) {","public <T> T newInstance(String cname, Class<T> expectedType, String... subpackages) {","public <T> T newInstance(String cname, Class<T> expectedType, String... subpackages) {",278,278,0
"119","1104.txt","protected FieldType create( SolrResourceLoader loader,","protected FieldType create( ResourceLoader loader,","protected FieldType create( ResourceLoader loader,",76,76,0
"120","1105.txt","static SimilarityFactory readSimilarity(SolrResourceLoader loader, Node node) {","static SimilarityFactory readSimilarity(ResourceLoader loader, Node node) {","static SimilarityFactory readSimilarity(ResourceLoader loader, Node node) {",701,701,0
"121","1106.txt","public <T> T newInstance(String cname, Class<T> expectedType) {","public <T> T newInstance(String cname, Class<T> expectedType, String... subpackages) {","public <T> T newInstance(String cname, Class<T> expectedType, String... subpackages) {",35,35,0
"122","1107.txt","new Integer(len));","new Integer(length));","new Integer(length));",469,200,1
"123","1108.txt","NumericField id = new NumericField(""id"", NumericField.DataType.INT);","NumericField id = new NumericField(""id"");","NumericField id = new NumericField(""id"");",229,229,0
"124","1109.txt","doc.add(new NumericField(""trie"", value));","doc.add(new NumericField(""trie"").setIntValue(value));","doc.add(new NumericField(""trie"").setIntValue(value));",55,55,0
"125","111.txt","public class OldQRDecomposition implements QR {","public class OldQRDecomposition {","public class OldQRDecomposition {",44,44,0
"126","1110.txt","doc.add(new NumericField(""numInt"", i));","doc.add(new NumericField(""numInt"").setIntValue(i));","doc.add(new NumericField(""numInt"").setIntValue(i));",81,81,0
"127","1111.txt","assertEquals(info, leftField.fieldType().numericType(), rightField.fieldType().numericType());","assertEquals(info, leftField.numericDataType(), rightField.numericDataType());","assertEquals(info, leftField.numericDataType(), rightField.numericDataType());",503,503,0
"128","1112.txt","doc.add(new NumericField(""id"", id));","doc.add(new NumericField(""id"").setIntValue(id));","doc.add(new NumericField(""id"").setIntValue(id));",167,167,0
"129","1113.txt","final NumericField.DataType numericType = field.fieldType().numericType();","final NumericField.DataType numericType = field.numericDataType();","final NumericField.DataType numericType = field.numericDataType();",102,102,0
"130","1114.txt","assertQ(req(""id:42 AND subword:\""IBM'sx\"""")","assertQ(req(""id:42 AND subword:IBM'sx"")","assertQ(req(""id:42 AND subword:\""I B M\"""")",1001,995,0.999987711650796
"131","1115.txt","throw new IllegalStateException(""No clusters found. Check your -c path."");","throw new IllegalStateException(""Cluster is empty!"");","throw new IllegalStateException(""Cluster is empty!"");",57,57,0
"132","1116.txt","public void testRandomPositions() throws IOException {","public void testRandomPositons() throws IOException {","public void testRandomPositons() throws IOException {",114,114,0
"133","1117.txt","logMsg(LINE);","istream.println(LINE);","logMsg(osInfo);",512,390,1
"134","1118.txt","valueString = new String(readBytes, ""US-ASCII"");","valueString = new String(readBytes);","valueString = new String(readBytes);",3252,3203,1
"135","1119.txt","addOption(""usersFile"", ""u"", ""File of users to recommend for"", null);","addOption(""usersFile"", ""u"", ""Number of recommendations per user"", null);","addOption(""usersFile"", ""u"", ""Number of recommendations per user"", null);",112,112,0
"136","112.txt","ColumnDefinition cd = new ColumnDefinition(old.name, old.validator, IndexType.KEYS, ""birthdate_index"");","ColumnDefinition cd = new ColumnDefinition(old.name, old.validator.getClass().getName(), IndexType.KEYS, ""birthdate_index"");","ColumnDefinition cd = new ColumnDefinition(old.name, old.validator.getClass().getName(), IndexType.KEYS, ""birthdate_index"");",317,317,0
"137","1120.txt","return 1.0f - ((float) p[n] / Math.max(other.length(), sa.length));","return 1.0f - ((float) p[n] / Math.min(other.length(), sa.length));","return 1.0f - ((float) p[n] / Math.min(other.length(), sa.length));",103,103,0
"138","1121.txt","(OLD_VERSIONS[i][0]==10) && (OLD_VERSIONS[i][1]==0)))","(OLD_VERSIONS[i][0]==10) && (OLD_VERSIONS[i][1]==0)));","(OLD_VERSIONS[i][0]==10) && (OLD_VERSIONS[i][1]==0)));",132,132,0
"139","1122.txt","if (key.startsWith(COLL_PROP_PREFIX)) {","if (key.indexOf(COLL_PROP_PREFIX) != -1) {","if (key.indexOf(COLL_PROP_PREFIX) != -1) {",1312,1312,0
"140","1123.txt","if (param.startsWith(OverseerCollectionProcessor.COLL_PROP_PREFIX)) {","if (param.indexOf(OverseerCollectionProcessor.COLL_PROP_PREFIX) != -1) {","if (param.indexOf(OverseerCollectionProcessor.COLL_PROP_PREFIX) != -1) {",382,382,0
"141","1124.txt","super(true);","super(false);","super(false);",42,42,0
"142","1125.txt","return dataImporter.getDataSourceInstance(entity, name, this);","return dataImporter.getDataSourceInstance(entity);","return dataImporter.getDataSourceInstance(entity);",66,66,0
"143","1126.txt","""SYSIBM.BLOBCREATELOCATOR() are incorrect"", 2, locator);","""SYSIBM.BLOBCREATELOCATOR() are incorrect"", 4, locator);","""SYSIBM.BLOBCREATELOCATOR() are incorrect"", 4, locator);",167,167,0
"144","1127.txt","@exception java.io.EOFException The set limit would exceed","@exception EOFException The set limit would exceed","@exception EOFException The set limit would exceed",45,45,0
"145","1128.txt","SSTableWriter writer = new SSTableWriter(cfs.getFlushPath(), columnFamilies.size(), cfs.metadata, cfs.partitioner);","SSTableWriter writer = cfs.createFlushWriter(columnFamilies.size());","SSTableWriter writer = cfs.createFlushWriter(columnFamilies.size());",158,158,0
"146","1129.txt","void setTransactionId(GlobalTransactionId extid, TransactionId localid) {","public void setTransactionId(GlobalTransactionId extid, TransactionId localid) {","public void setTransactionId(GlobalTransactionId extid, TransactionId localid) {",482,482,0
"147","113.txt","SystemTable.setIndexRemoved(metadata.ksName, indexCfs.columnFamily);","SystemTable.setIndexRemoved(metadata.tableName, indexCfs.columnFamily);","SystemTable.setIndexRemoved(metadata.tableName, indexCfs.columnFamily);",218,218,0
