"","File","Query","SolutionStr","MySolutionStr"
"15","10236.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"16","10277.txt","return getFile().length();","return super.contentLength();","return getFile().exists();"
"17","1031.txt","return ListOrderedMap.listOrderedMap(new HashMap<K, V>());","return (ListOrderedMap<K, V>) ListOrderedMap.listOrderedMap(new HashMap<K, V>());","return (ListOrderedMap<K, V>) super.getMap();"
"18","1033.txt","return PredicatedSortedSet.predicatedSortedSet(new TreeSet<E>(), testPredicate);","return (PredicatedSortedSet<E>) PredicatedSortedSet.predicatedSortedSet(new TreeSet<E>(), testPredicate);","return PredicatedSortedSet.predicatedSortedSet(new TreeSet<E>(), truePredicate);"
"19","1040.txt","DeploymentUnitProcessingException failedToParseXml(@Cause Throwable cause, VirtualFile appXml, int lineNumber, int columnNumber);","DeploymentUnitProcessingException failedToParseXml(VirtualFile appXml, int lineNumber, int columnNumber);","DeploymentUnitProcessingException failedToParseXml(@Cause Throwable cause, VirtualFile appXml);"
"20","1041.txt","proxyDefinition.setRole(targetDefinition.getRole());","proxyDefinition.setRole(BeanDefinition.ROLE_INFRASTRUCTURE);","proxyDefinition.setSource(definition.getSource());"
"21","10474.txt","if (stateValues.isSilent() == false && theConsole.getConsole() == null) {","if (theConsole.getConsole() == null) {","if (stateValues.isSilentOrNonInteractive()) {"
"22","10475.txt","if ((stateValues != null && stateValues.isSilent() == false) && theConsole.getConsole() == null) {","if (theConsole.getConsole() == null) {","if ((stateValues == null) || (stateValues != null) && (stateValues.isSilent() == false)) {"
"23","10476.txt","if ((stateValues != null && stateValues.isSilent() == false) && theConsole.getConsole() == null) {","if (theConsole.getConsole() == null) {","if (!stateValues.isManagement()) {"
"24","10508.txt","for (Map.Entry<?, ?> entry : original.entrySet()) {","for (Map.Entry entry : original.entrySet()) {","for (Map.Entry<?, ?> entry : other.entrySet()) {"
"25","10658.txt","node.get(OP).set(ADD);","node.get(OP).set(RootLoggerResourceDefinition.ROOT_LOGGER_ADD_OPERATION_NAME);","op.get(OP).set(ADD);"
"26","10659.txt","if (isRunning()) {","if (!isRunning()) {","if (!isRunning()) {"
"27","10660.txt","ConnectorLogger ROOT_LOGGER = Logger.getMessageLogger(ConnectorLogger.class, ""org.jboss.as.connector"");","ConnectorLogger ROOT_LOGGER = Logger.getMessageLogger(ConnectorLogger.class, ConnectorLogger.class.getPackage().getName());","ConnectorLogger MDR_LOGGER = Logger.getMessageLogger(ConnectorLogger.class, ""org.jboss.as.connector.services.mdr"");"
"28","10689.txt","return; // not an EE deployment","return; // not an ee deployment","return;"
"29","10690.txt","if (serverEnvironment != null) { // TODO eliminate test cases that result in serverEnvironment == null","if (serverEnvironment != null) { // TODO eliminate test cases that result in serverEnviroment == null","if (serverEnvironment != null) {"
"30","1071.txt","if(tuple.isTick()) {","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(ct.equals(CoordType.single())) {"
"31","10717.txt","return; //not an EE deployment","return; //not an ee deployment","return;"
"32","1073.txt","assertEquals(builder, writer.getBuilder());","assertTrue(builder == writer.getBuilder());","assertEquals(""Bar"", writer.toString());"
"33","10740.txt","if (rbd.isPrototype()) {","if (SCOPE_PROTOTYPE.equals(rbd.getScope())) {","if (mbd.isSingleton()) {"
"34","10741.txt","if (!StringUtils.hasLength(mbd.getScope())) {","if (mbd.getScope() == null) {","if (!this.alreadyCreated.contains(beanName)) {"
"35","10753.txt","return new SingletonComponentInstance(this);","return super.createInstance();","return this.singletonComponentInstance;"
"36","10770.txt","Method m2 = getNameMethod;","// Method m2 = getNameMethod;","Method m = getNameMethod;"
"37","10772.txt","cmdCtx = initCommandContext(defaultControllerHost, defaultControllerPort, username, password, false, true);","cmdCtx = initCommandContext(defaultControllerHost, defaultControllerPort, username, password, false, connect);","cmdCtx = initCommandContext(defaultControllerHost, defaultControllerPort, username, password, false, connect);"
"38","10808.txt","if (Precision.compareTo(entry, 0d, epsilon) > 0) {","if (Precision.compareTo(entry, 0d, maxUlps) > 0) {","if (Precision.compareTo(entry, 0d, epsilon) < 0) {"
"39","1083.txt","return delegate.requireChild(element);","return delegate.getChild(element);","return delegate.getChild(element);"
"40","10838.txt","builder.append(""org.jboss.as.arquillian.api,org.jboss.as.arquillian.container,org.jboss.as.osgi,"");","builder.append(""org.jboss.as.osgi,"");","builder.append(""org.jboss.arquillian.container.test.api,org.jboss.arquillian.junit,"");"
"41","10864.txt","BindingResults results = binder.bind(values);","binder.bind(values);","BindingResults results = binder.bind(Collections.singletonMap(""date"", ""bogus""));"
"42","1089.txt","assertTrue(jar instanceof ZipArchiveInputStream);","assertTrue(jar instanceof JarArchiveInputStream);","assertTrue(ar instanceof ArArchiveInputStream);"
"43","10902.txt","return this.relatedContext.getTypeConverter().convertValue(value.getValue(), targetTypeDescriptor);","return this.relatedContext.getTypeConverter().convertValue(value.getValue(), TypeDescriptor.forObject(value.getValue()), targetTypeDescriptor);","return this.relatedContext.getTypeConverter().convertValue(value, TypeDescriptor.forObject(value), targetTypeDescriptor);"
"44","10910.txt","if(path != null) update.get(PATH).set(path);","update.get(PATH).set(path);","if(type != null) addUpdate.get(JVM_TYPE).set(type);"
"45","10921.txt",".setDefaultValue(new ModelNode().set(0))",".setDefaultValue(new ModelNode().set(5000))",".setDefaultValue(new ModelNode().set(60))"
"46","10932.txt","} catch (Throwable e) {","} catch (IOException e) {","} catch (Exception e) {"
"47","10961.txt","throw MESSAGES.jaxRpcNotSupported();","throw new DeploymentUnitProcessingException(""JAXRPC not supported""); //TODO!!","throw MESSAGES.cannotGetURLForDescriptor(e, wsdd.getPathName());"
"48","10967.txt","super();","; // empty constructor","Class type = array.getClass().getComponentType();"
"49","10968.txt","super();","; // empty constructor","public static boolean xor(boolean[] array) {"
"50","10969.txt","super();","; // empty constructor","return 0;"
"51","10970.txt","super();","; // empty constructor","return null;"
"52","10971.txt","super();","; // empty constructor","Class superclass = cls.getSuperclass();"
"53","10972.txt","super();","; // empty constructor","super(growBy);"
"54","10973.txt","super();","; // empty constructor","hasExp = true;"
"55","10975.txt","super();","; // empty constructor","start = 0;"
"56","10976.txt","super();","; // empty constructor","out.write(ch);"
"57","10977.txt","super();","; // empty constructor","public static void isTrue(boolean expression) {"
"58","10978.txt","super();","; // empty constructor","spaceToWrapAt = str.indexOf(' ', wrapLength + offset);"
"59","10979.txt","super();","; // empty constructor","super();"
"60","10990.txt","case STOPPING_to_DOWN: {","case START_REQUESTED_to_DOWN: {","case REMOVING_to_REMOVED: {"
"61","11038.txt","return System.getProperty(""jboss.server.deploy.dir"") + ""/"" + fileName;","return fileName;  // TODO: Need some way to get fully qualified path for this (should be a system prop)","return ServerGroupDeploymentElement.class;"
"62","11045.txt","ToStringBuilder.setDefaultStyle(ToStringStyle.DEFAULT_STYLE);","ToStringBuilder.setDefaultStyle(STYLE);","ToStringBuilder.setDefaultStyle(STYLE);"
"63","11064.txt","params.put(""security-application"", ""true"");","params.put(""application"", ""true"");","params.put(""pool-use-strict-min"", ""true"");"
"64","11073.txt","Object id = msg.get(""id"");","String id = (String) msg.get(""id"");","Object anchorObj = msg.get(""anchors"");"
"65","1109.txt","List<String> resources = new ArrayList<String>();","List<Resource> resources = new ArrayList<Resource>();","List<String> list = new ArrayList<String>();"
"66","11090.txt","if(tuple.isTick()) {","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(ct.equals(CoordType.single())) {"
"67","11095.txt","return false;","return super.canRead(ae);","return true;"
"68","11096.txt","return false;","return super.canWrite(ae);","return name;"
"69","11098.txt","localInterfaceType = index.classIndex(localInterface).getModuleClass();","localInterfaceType = classLoader.loadClass(localInterface);","localInterfaceType = index.classIndex(localHome).getModuleClass();"
"70","11109.txt","static final String CRLF = ""\r\n"";","public static final String CRLF = ""\r\n"";","static final String EMPTY = """";"
"71","11113.txt","for (AttributeDefinition attribute : BridgeDefinition.ATTRIBUTES) {","for (AttributeDefinition attribute : CommonAttributes.BRIDGE_ATTRIBUTES) {","for (AttributeDefinition attribute : DivertDefinition.ATTRIBUTES) {"
"72","11116.txt","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.completeStep();","context.completeStep();"
"73","11144.txt","if (endpointMetaData.isWebservice()) {","if (endpointMetaData.isWebservice() && endpointMetaData.getWebServiceAnnotation().isValidDeclaration()) {","if (endpointMetaData.isBridgeEnabled()) {"
"74","11145.txt","assertEquals(""x.tar.bz2"", BZip2Utils.getCompressedFilename(""x.TAR""));","assertEquals(""x.TAR.bz2"", BZip2Utils.getCompressedFilename(""x.TAR""));","assertEquals(""x.tar.bz2"", BZip2Utils.getCompressedFilename(""x.tar""));"
"75","11155.txt","public SimpleOperationDefinitionBuilder setParameters(AttributeDefinition... parameters) {","public SimpleOperationDefinitionBuilder setParameters(AttributeDefinition... parameters) {//todo add validation for same param name","public SimpleOperationDefinitionBuilder setReplyParameters(AttributeDefinition... replyParameters) {"
"76","1118.txt","//@Override Intellij keeps JDK in front","@Override","@Override"
"77","112.txt","Assert.assertTrue(""key=""+ key + ""\n with child1 \n"" + child1.toString() + ""\n has child2 not defined\n node2 is:\n"" + node2.toString(), child2.isDefined());","Assert.assertTrue(child1.toString(), child2.isDefined());","Assert.assertTrue(""Missing: "" + key + ""\n"" + node1 + ""\n"" + node2, node2.has(key));"
"78","11200.txt","if (chain.isAsyncStarted()) {","if (!chain.pop()) {","if (!chain.pop()) {"
"79","11205.txt","if(taskId==-1) {","if(taskId==Constants.SYSTEM_TASK_ID) {","if(ret==null) {"
"80","11226.txt","public String getFilename() {","public String getFilename() throws IllegalStateException {","public String toString() {"
"81","11242.txt","LOG.error(""server errors in handling the request"", e.getCause());","e.getCause().printStackTrace();","LOG.info(""failed to enqueue a request message"", e);"
"82","11263.txt","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"83","11268.txt","Thread.sleep(testDelayMillis * 4);","Thread.sleep(testDelayMillis);","Thread.sleep(testDelayMillis);"
"84","1127.txt","ServerStartBatchBuilder.this.serverStartupListener.unexpectOnDemand(serviceName);","ServerStartBatchBuilder.this.serverStartupListener.expectOnDemand(serviceName);","ServerStartBatchBuilder.this.serverStartupListener.expectOnDemand(serviceName);"
"85","11296.txt","if (iorSecurityConfigMetaData != null && iorSecurityConfigMetaData.getTransportConfig() != null) {","if (iorSecurityConfigMetaData != null) {","if (iorSecurityConfigMetaData != null) {"
"86","11306.txt","this(new ArrayBlockingQueue<TransactionalProtocolClient.PreparedOperation<T>>(capacity));","this.queue = new ArrayBlockingQueue<TransactionalProtocolClient.PreparedOperation<T>>(capacity);","this(new LinkedBlockingQueue<TransactionalProtocolClient.PreparedOperation<T>>());"
"87","11315.txt","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(tuple.isTick()) {","if(ct.equals(CoordType.single())) {"
"88","1146.txt","catch (Throwable ex) {","catch (IOException ex) {","catch (Exception ex) {"
"89","1147.txt","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"90","11486.txt","public List<Object> getHeaders(String name) {","public List getHeaders(String name) {","public Object getHeader(String name) {"
"91","11519.txt","public static final String GLOBAL_MODULES = ""-global-modules"";","public static final String CLASSPATH = ""-classpath"";","public static final String HOST = ""--host"";"
"92","11565.txt","String formatterNotFound(String name);","IllegalArgumentException formatterNotFound(String name);","String loggerNotFound(String name);"
"93","11574.txt","doHandle(ctx);","ctx.enterState(EscapeCharacterState.KEEP_ESCAPE);","ctx.leaveState();"
"94","11602.txt","unexpectedAttribute(reader, i);","throw unexpectedAttribute(reader, i);","throw unexpectedAttribute(reader, i);"
"95","11603.txt","unexpectedAttribute(reader, i);","throw unexpectedAttribute(reader, i);","throw unexpectedAttribute(reader, i);"
"96","11604.txt","private final List<K> insertOrder = new ArrayList<K>();","protected final List<K> insertOrder = new ArrayList<K>();","private final List<K> insertOrder;"
"97","11615.txt",".setValidator(new IntRangeValidator(0, true, true))",".setValidator(new IntRangeValidator(1, true, true))",".setValidator(new IntRangeValidator(1, true, true))"
"98","11634.txt","return; // not an EE deployment","return; // not an ee deployment","return;"
"99","11635.txt","if (serverEnvironment != null) { // TODO eliminate test cases that result in serverEnvironment == null","if (serverEnvironment != null) { // TODO eliminate test cases that result in serverEnviroment == null","if (serverEnvironment != null) {"
"100","1164.txt","final double rem = FastMath.IEEEremainder(lhs[lhsOffset], rhs[rhsOffset]);","final double rem = lhs[lhsOffset] % rhs[rhsOffset];","final double k   = FastMath.rint((lhs[lhsOffset] - rem) / rhs[rhsOffset]);"
"101","11662.txt","return; //not an EE deployment","return; //not an ee deployment","return;"
"102","117.txt","for(AnnotationInstance annotation : excludeClassAnnotations) {","for(AnnotationInstance annotation : excludeDefaultAnnotations) {","for(AnnotationInstance annotation : excludeDefaultAnnotations) {"
"103","11700.txt","public int getN() {","public double getN() {","public int getWindowSize() {"
"104","11710.txt","if (StringUtils.isEmpty(str)) {","if (str == null || str.length() == 0) {","if (list.isEmpty()) {"
"105","11712.txt","writer.writeEndElement();","//","ParseUtils.requireNoContent(reader);"
"106","11723.txt","return wrapped.nextInt(n);","return wrapped.nextInt();","return wrapped.nextInt();"
"107","11749.txt","if(info != null) {","if(info != null && info.isRunning()) {","if(existing != null) { // FIXME"
"108","11826.txt",".setAllowExpression(false)",".setAllowExpression(true)",".setAllowExpression(true)"
"109","11842.txt","throw new ArithmeticException(""overflow: subtract"");","throw new ArithmeticException(""overflow: add"");","throw new ArithmeticException(""overflow: add"");"
"110","1185.txt","public static final ServiceName JBOSS_SERVER_EXECUTOR = JBOSS_AS.append(""server-executor"");","static final ServiceName JBOSS_SERVER_EXECUTOR = JBOSS_AS.append(""server-executor"");","public static final ServiceName JBOSS_SERVER_CONTROLLER = JBOSS_AS.append(""server-controller"");"
"111","11853.txt","result.get(""content"").get(0).get(""input-stream-index"").set(index);","result.get(""input-stream-index"").set(index);","add.get(""content"").get(0).get(""input-stream-index"").set(index);"
"112","11862.txt","context.removeService(ChannelService.getFactoryServiceName(ChannelService.DEFAULT));","context.removeService(ChannelService.getStackServiceName(ChannelService.DEFAULT));","context.removeService(ChannelFactoryService.getServiceName(ChannelFactoryService.DEFAULT));"
"113","11865.txt","doHandle(ctx);","ctx.enterState(EscapeCharacterState.KEEP_ESCAPE);","ctx.leaveState();"
"114","11877.txt","command.add(""java"");","command.add(TestSuiteEnvironment.getJavaPath());","command.add(""-jar"");"
"115","11919.txt","drivers.remove(driver.getDriverName());","drivers.put(driver.getDriverName(), driver);","drivers.put(driver.getDriverName(), driver);"
"116","11923.txt","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"117","11944.txt","exceptionResolver.resolveException(request, response, null, ex);","ModelAndView mav = exceptionResolver.resolveException(request, response, null, ex);","exceptionResolver = new ResponseStatusExceptionResolver();"
"118","11954.txt","CommonAttributes.FILTER, HA, CommonAttributes.MIN_LARGE_MESSAGE_SIZE,","CommonAttributes.FILTER, CommonAttributes.TRANSFORMER_CLASS_NAME, HA, CommonAttributes.MIN_LARGE_MESSAGE_SIZE,","CommonAttributes.FILTER, CommonAttributes.TRANSFORMER_CLASS_NAME,"
"119","11955.txt","EXCLUSIVE };","CommonAttributes.TRANSFORMER_CLASS_NAME, EXCLUSIVE };","CommonAttributes.TRANSFORMER_CLASS_NAME, EXCLUSIVE };"
"120","11957.txt",".setAllowExpression(false)",".setAllowExpression(true)",".setAllowExpression(true)"
"121","11968.txt","ROOT_LOGGER.virtualNodesAttributeDeprecated();","DistributedCacheResource.VIRTUAL_NODES.parseAndSetParameter(value, cache, reader);","ROOT_LOGGER.eagerAttributeDeprecated();"
"122","11969.txt","this.writeOptional(writer, Attribute.SEGMENTS, distributedCache, ModelKeys.SEGMENTS);","this.writeOptional(writer, Attribute.VIRTUAL_NODES, distributedCache, ModelKeys.VIRTUAL_NODES);","this.writeOptional(writer, Attribute.OWNERS, distributedCache, ModelKeys.OWNERS);"
"123","11991.txt",""" org.jboss.as.appclient"" +",""" -logmodule org.jboss.logmanager org.jboss.as.appclient"" +",""" -Djboss.home.dir=""+ asInst +"
"124","11992.txt","+ "" org.jboss.as.cli""","+ "" -logmodule org.jboss.logmanager org.jboss.as.cli""","+ "" -Djboss.modules.dir="" + asDist + ""/modules"""
"125","12029.txt","public static final AttachmentKey<Map<String, MountedDeploymentOverlay>> DEPLOYMENT_OVERLAY_LOCATIONS = AttachmentKey.create(Map.class);","public static final AttachmentKey<AttachmentList<VirtualFile>> DEPLOYMENT_OVERRIDE_LOCATIONS = AttachmentKey.createList(VirtualFile.class);","public static final AttachmentKey<Map<ModuleIdentifier, CompositeIndex>> ADDITIONAL_ANNOTATION_INDEXES_BY_MODULE = AttachmentKey.create(Map.class);"
"126","1206.txt","return file != null ? file : secondary.getConfigurationFile(relativePath);","return file != null ? file : secondary.getFile(relativePath);","return file != null ? file : secondary.getFile(relativePath);"
"127","1207.txt","// Ignore","ROOT_LOGGER.deprecatedAttribute(attribute.getLocalName(), Element.EVICTION.getLocalName(), ""ISPN-1268"");","// Ignore"
"128","12076.txt","componentsForViewName = applicationDescription.getComponentsForViewName(typeName, deploymentRoot.getRoot());","componentsForViewName = applicationDescription.getComponentsForViewName(typeName);","componentsForViewName = applicationDescription.getComponents(beanName, typeName, deploymentRoot.getRoot());"
"129","12096.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"130","1212.txt",".setValidator(new StringLengthValidator(1, false, true))",".setValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))"
"131","12172.txt","super(null, DomainResolver.getResolver(DOMAIN, false));","super(PathElement.pathElement(""this-will-be-ignored-since-we-are-root""), DomainResolver.getResolver(DOMAIN, false));","super.registerOperations(resourceRegistration);"
"132","12178.txt","cin.close();","in.close();","in.close();"
"133","12182.txt","assertEquals(1l, new BigFraction(Double.longBitsToDouble(0x0010000000000000L)).getNumeratorAsLong());","assertEquals(1l, new BigFraction(Double.MIN_NORMAL).getNumeratorAsLong());","assertEquals(1l, new BigFraction(Double.MAX_VALUE).getDenominatorAsLong());"
"134","12194.txt","public static final AttachmentKey<Boolean> EJB_ANNOTATION_PROPERTY_REPLACEMENT = AttachmentKey.create(Boolean.class);","public static final AttachmentKey<Boolean> ANNOTATION_PROPERTY_REPLACEMENT = AttachmentKey.create(Boolean.class);","public static final AttachmentKey<Boolean> JBOSS_DESCRIPTOR_PROPERTY_REPLACEMENT = AttachmentKey.create(Boolean.class);"
"135","12212.txt","if (cachedQT == null) {","if (cachedQ == null) {","if (cachedQ == null) {"
"136","12222.txt","if (isEarDeployment(deploymentUnit)) {","if (!appClientContainerMode && isEarDeployment(deploymentUnit)) {","if (parentdeploymentUnit != null) {"
"137","1223.txt","SSOBaseCase.executeNoAuthSingleSignOnTest(new URL(baseURL1, ""/""), new URL(baseURL2, ""/""), log);","SSOBaseCase.executeNoAuthSingleSignOnTest(baseURL1, baseURL2, log);","SSOBaseCase.executeFormAuthSingleSignOnTest(new URL(baseURL1, ""/""), new URL(baseURL2, ""/""),  log);"
"138","12234.txt","public void testReadingOfFirstStoredEntry() throws Exception {","public void testCompress264() throws Exception {","public void testReadingOfStoredEntry() throws Exception {"
"139","12236.txt","deferredCloseHolder.remove();","deferredCloseHolder.set(null);","deferredCloseHolder.set(holderMap);"
"140","12251.txt","super(defaultExecutor);","this(defaultExecutor, new SimpleAsyncUncaughtExceptionHandler());","super(defaultExecutor, exceptionHandler);"
"141","12317.txt","return builder.build();","return ""Binding successful"";","return buffer.getValue();"
"142","12318.txt","public static final AttachmentKey<AttachmentList<VirtualFile>> DEPLOYMENT_OVERRIDE_LOCATIONS = AttachmentKey.createList(VirtualFile.class);","public static final AttachmentKey<Map<String, MountedDeploymentOverlay>> DEPLOYMENT_OVERLAY_LOCATIONS = AttachmentKey.create(Map.class);","public static final AttachmentKey<AttachmentList<ServiceName>> BUNDLE_ACTIVE_DEPENDENCIES = AttachmentKey.createList(ServiceName.class);"
"143","1233.txt","exceptionResolver.resolveException(request, response, null, ex);","ModelAndView mav = exceptionResolver.resolveException(request, response, null, ex);","exceptionResolver = new ResponseStatusExceptionResolver();"
"144","12333.txt","return null;","return new HashMap<String, Object>();","returnInfo.put(""host"", _local_drpc_id);"
"145","12342.txt","ROOT_LOGGER.errorContextModuleNotFound(consoleSlot == null ? ""main"" : consoleSlot);","ROOT_LOGGER.error(consoleSlot == null ? ""main"" : consoleSlot);","ROOT_LOGGER.consoleModuleNotFound(consoleSlot == null ? ""main"" : consoleSlot);"
"146","12353.txt","format.delimiter = delimiter;","this.delimiter = delimiter;","this.delimiter = delimiter;"
"147","12361.txt","assertFalse(expected.equals(new String(actual)));","assertEquals(expected.toUpperCase(), new String(actual));","assertTrue(expected.equals(new String(actual)));"
"148","12363.txt","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"149","12370.txt","import static test.util.TestResourceUtils.*;","import static org.springframework.tests.TestResourceUtils.qualifiedResource;","import static org.junit.Assert.*;"
"150","12417.txt",".setDefaultValue(new ModelNode(""""))",".setDefaultValue(new ModelNode(""default""))",".setDefaultValue(new ModelNode(-1))"
"151","12433.txt","return Integer.valueOf(this.value);","return new Integer(this.value);","return Integer.valueOf(intValue());"
"152","12434.txt","Integer i = Integer.valueOf(90);","Integer i = new Integer(90);","Integer two = Integer.valueOf(2);"
"153","12450.txt",".setElementValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))"
"154","12453.txt",".setElementValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))"
"155","12480.txt","return null; // TODO: implement","throw new UnsupportedOperationException();","return this.serviceEndpointContainer;"
"156","12486.txt","return this.ref.isWritableProperty(this.ref.name, this.contextObject, this.evalContext);","return true;","this.ref.writeProperty(this.contextObject, this.evalContext, this.ref.name, newValue);"
"157","12501.txt","return urlPathHelper.decodeRequestString(servletRequest, cookieValue.getValue());","return cookieValue.getValue();","return exprResolver.evaluate(placeholdersResolved, expressionContext);"
"158","12513.txt","assertCast(ArrayType.class, converter.getOpenType());","ArrayType<?> arrayType = assertCast(ArrayType.class, converter.getOpenType());","Assert.assertEquals(SimpleType.STRING, converter.getOpenType());"
"159","12569.txt","assertEquals(Ordered.LOWEST_PRECEDENCE, compositeResolver.getOrder());","assertEquals(0, compositeResolver.getOrder());","assertEquals(Ordered.HIGHEST_PRECEDENCE, compositeResolver.getOrder());"
"160","12570.txt","if(subModel.has(attrName)) {","if(operation.hasDefined(attrName)) {","if(operation.hasDefined(attrName)) {"
"161","12576.txt","setBoottime = true;","setValue = true;","setName = true;"
"162","12579.txt",".setValidator(new IntRangeValidator(1, true, true))",".setValidator(new IntRangeValidator(0, true, true))",".setValidator(new IntRangeValidator(-1, true, true))"
"163","12600.txt","return new HashMap<String, Object>();","return null;","return unmarshaller;"
"164","12614.txt","op.get(""enabled"").set(""true"");","op.get(""enabled"").set(""false"");","op.get(""enabled"").set(""false"");"
"165","12615.txt","return this.helperConverter.matches(sourceType, targetType);","return true;","return this.helperConverter.convert(Arrays.asList(ObjectUtils.toObjectArray(source)), sourceType, targetType);"
"166","12616.txt","return this.helperConverter.matches(sourceType, targetType);","return true;","return this.helperConverter.convert(Arrays.asList(ObjectUtils.toObjectArray(source)), sourceType, targetType);"
"167","12617.txt","return this.helperConverter.matches(sourceType, targetType);","return true;","return this.helperConverter.convert(Arrays.asList(ObjectUtils.toObjectArray(source)), sourceType, targetType);"
"168","12641.txt","// Ignored","EJB3SubsystemRootResourceDefinition.DEFAULT_CLUSTERED_SFSB_CACHE.parseAndSetParameter(value, ejb3SubsystemAddOperation, reader);","final int attCount = reader.getAttributeCount();"
"169","12671.txt","public EntityGraph<?> getEntityGraph(String s) {","public <T> EntityGraph<T> getEntityGraph(String s) {","public EntityGraph<?> createEntityGraph(String s) {"
"170","12681.txt","log.infof(""started ResourceAdapterService %s"", context.getController().getName());","log.errorf(""started ResourceAdapterService %s"", context.getController().getName());","log.infof(""stopped ResourceAdapterService %s"", context.getController().getName());"
"171","12682.txt","clientInboundChannel(), brokerChannel(), userDestinationResolver());","clientInboundChannel(), clientOutboundChannel(), brokerChannel(), userDestinationResolver());","clientInboundChannel(), clientOutboundChannel(), brokerMessagingTemplate());"
"172","12684.txt","return Integer.valueOf(toHashCode());","return toHashCode();","return builder.toHashCode();"
"173","12686.txt","return JAVA_CONTEXT_SERVICE_NAME.append(context);","return null;","return GLOBAL_CONTEXT_SERVICE_NAME.append(context.substring(12));"
"174","1269.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);"
