"","File","Query","SolutionStr","MySolutionStr"
"34","10282.txt","// bit17 - free","final int AccAnnotated = ASTNode.Bit17; // indicate the recipient carries some annotations (@Target, @Retention, etc...)","final int AccModifierProblem = ASTNode.Bit24;"
"35","10283.txt","protected ColumbaMessage getMessage(Object uid) throws Exception {","public ColumbaMessage getMessage(Object uid) throws Exception {","public MimeTree getMimePartTree(Object uid) throws Exception {"
"36","10286.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"37","10328.txt","int MAJOR_VERSION_1_5 = 49; // TODO : (olivier) 1.5. major version value need to be confirmed","int MAJOR_VERSION_1_5 = 49; // TODO (olivier) 1.5. major version value need to be confirmed","int MAJOR_VERSION_1_1 = 45;"
"38","10335.txt","typeBinding = typeBinding.enclosingType();","typeBinding = ((ReferenceBinding) typeBinding).enclosingType();","typeBinding = pbBinding.original;"
"39","1034.txt","setColor(currentIndex);","setColor(i);","setForeground(color);"
"40","10345.txt","if (Options.check(""verbose""))","if (Options.check(""verbosemsg""))","if (Options.check(""verbosemsg""))"
"41","10352.txt","setText(name);","setText(WorkbenchMessages.getString(name));","site.setState(state);"
"42","10360.txt","// ignore","e.printStackTrace();","toString(0, buffer);"
"43","10395.txt","this.unitDeclaration.print(tab + 1, result);","result.append(this.unitDeclaration.print(tab + 1, result));","this.unitDeclaration = unitDeclaration;"
"44","10396.txt","if (typeBinding == null || typeBinding instanceof ProblemReferenceBinding) {","if (typeBinding == null) {","if (typeBinding instanceof ReferenceBinding) {"
"45","10406.txt","this.leafComponentType = env.convertToRawType(resolvedType);","this.leafComponentType = resolvedType.isGenericType() ? env.createRawType(resolvedType, resolvedType.enclosingType()) : resolvedType;","this.leafComponentType = type;"
"46","10417.txt","v.addElement(String.valueOf(o));","v.addElement(o.toString());","v.addElement(o.toString());"
"47","10430.txt","if (!diet || dietInt != 0){","if (!diet){","if (!diet){"
"48","10441.txt","sb.append(ResponseUtils.filter(label));","sb.append(label);","sb.append("" selected"");"
"49","10445.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return name;"
"50","10452.txt","Executable_Filters = new String[] { ""*.exe"", ""*.bat"", ""*.*""};//$NON-NLS-1$ //$NON-NLS-2$ //$NON-NLS-3$","Executable_Filters = new String[] { ""*.exe"", ""*.bat"", ""*.*""};//$NON-NLS-1$","Executable_Filters = new String[] {""*""};//$NON-NLS-1$"
"51","10461.txt","if (line >= 0) {","if (pos >= 0) {","if (lastLine >= 0) {"
"52","105.txt","IWorkbenchAdapter2.class);","IWorkbenchAdapter.class);","IWorkbenchAdapter.class);"
"53","10502.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"54","10515.txt","h.getAttributes().put(""columba.attachment"", h.hasAttachments());","h.set(""columba.attachment"", h.hasAttachments());","h.getAttributes().put(""columba.fetchstate"", Boolean.TRUE);"
"55","10519.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return extension;"
"56","10520.txt","if (!isConsistent()) { // TODO: (jerome) this code isn't synchronized with regular opening of a working copy (should use getElementInfo)","if (!isConsistent()) { // TODO: this code isn't synchronized with regular opening of a working copy (should use getElementInfo)","if (((ICompilationUnit) parent).isWorkingCopy() && !((ICompilationUnit) parent).getOriginalElement().equals(cu)) {"
"57","10545.txt","protected","private","protected int i;"
"58","10551.txt","wbw.getShell().redraw();","wbw.getPageComposite().update();","wbw.getPageComposite().setRedraw(true);"
"59","10560.txt","tsig.apply(query, null);","query.setTSIG(tsig, Rcode.NOERROR, null);","applyEDNS(query);"
"60","10562.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"61","10579.txt","public short","public int","public"
"62","10584.txt","setVisible(true);","show();","setLocationRelativeTo(frame);"
"63","10595.txt","public static String findLineSeparator(char[] text) {","private static String findLineSeparator(char[] text) {","public static String toString(char[] c) {"
"64","1060.txt","public char[] getCurrentTokenSource() {","public final char[] getCurrentTokenSource() {","public char[] getCurrentTokenSourceString() {"
"65","10600.txt","return """"; //$NON-NLS-1$","return """"/*nonNLS*/;","return i;"
"66","10622.txt","current.setVisible(true);","current.setVisible(!isMinimized());","current.setVisible(false);"
"67","10636.txt","local.isBlankFinal() ? IProblem.DuplicateFinalLocalInitialization : IProblem.NonBlankFinalLocalAssignment,","IProblem.DuplicateFinalLocalInitialization,","public void duplicateInitializationOfFinalLocal(LocalVariableBinding local, AstNode location) {"
"68","1064.txt","return compilationUnitDeclaration;","return null;","return compilationUnit;"
"69","10641.txt","name = replace('/', '.', extractClassReference(constantPoolOffsets, reader, i)); // so that it looks like java.lang.String","name = extractClassReference(constantPoolOffsets, reader, i);","char[] className = replace('/', '.', extractClassName(constantPoolOffsets, reader, i)); // so that it looks like java.lang.String"
"70","10660.txt","throw new ProgramNotFoundException(""invalid path"");","path = pgpItem.get(""PATH"");","return getConnection(pgpItem.get(""id""));"
"71","10662.txt","if (this.ast.apiLevel == AST.LEVEL_2_0) {","if (this.ast.API_LEVEL == AST.LEVEL_2_0) {","if (apiLevel == AST.LEVEL_2_0) {"
"72","10663.txt","return Level.toLevel(sArg);","return Level.toPriority(sArg);","return Level.toLevel(sArg, defaultPriority);"
"73","10673.txt","""The editor input must have a non-null tool tip""); //$NON-NLS-1$","""The editor input must have non-null name""); //$NON-NLS-1$","""The editor input must have a non-null name""); //$NON-NLS-1$"
"74","10687.txt","scope.classScope().detectAnnotationCycle(scope.enclosingSourceType(), leafReturnType, this.returnType);","//checkCircularAnnotationReference(leafReturnType);","scope.problemReporter().invalidAnnotationMethodType(this);"
"75","10705.txt","private static final String UNNAMED = ""UNNAMED"";//$NON-NLS-1$","private static final String UNNAMED = ""UNNAMED"";","private static final String[] NO_NAME_COMPONENTS = new String[0];"
"76","10709.txt","// TODO: remove, keybindings should not distinguish between inactive and active commands: SortedSet getActiveCommandIds();","SortedSet getActiveCommandIds();","void removeCommandManagerListener(ICommandManagerListener commandManagerListener);"
"77","10710.txt","}, true);","});","}"
"78","10713.txt","if (this == otherType || erasure() == otherType) // https://bugs.eclipse.org/bugs/show_bug.cgi?id=329588","if (this == otherType)","if (this == otherType || erasure() == otherType)"
"79","10714.txt","p.setFile(chooser.getSelectedFile());","p.setName(name);","//   p.setPathname(chooser.getSelectedFile().getParent());"
"80","10724.txt","String encoding = this.compilerOptions.defaultEncoding;","String encoding = JavaCore.getOption(JavaCore.CORE_ENCODING);","ReferenceBinding[] exceptions = method.thrownExceptions;"
"81","10725.txt","this.mustResolve = true;","((InternalSearchPattern)this).mustResolve = true;","this.enclosingElement = enclosingElement;"
"82","10736.txt","genericSignature = CharOperation.replaceOnCopy(genericSignature, '/', '.');","CharOperation.replace(genericSignature, '/', '.');","char[] dotBasedSignature = CharOperation.replaceOnCopy(genericSignature, '/', '.');"
"83","10739.txt","dummy = readString(ajpin, null);","req.setPathTranslated( readString(ajpin, null));","dummy=readString(ajpin, null);"
"84","10740.txt","fStatusLine.setErrorStatus(null);","fStatusLine.setErrorStatus(null); //$NON-NLS-1$","fStatusLine.setErrorStatus(status);"
"85","10741.txt","if (!aType.isInterface()) { // class or enum","if (aType.isClass()) {","if (aType.isInterface()) {"
"86","10742.txt","addCaption(Argo.localize(""UMLMenu"", ""label.raisedsignals""),1,2,0.5);","addCaption(""Raised Signals:"",1,2,0.5);","addCaption(Argo.localize(""UMLMenu"", ""label.name""),1,0,0);"
"87","10752.txt","String testKey = ""testRequestScopePropertyNotPresent"";","String testKey = ""testRequestScopePropertyPresent"";","String testKey = ""testRequestScopePropertyPresent"";"
"88","10768.txt","} else if (token.equals(""allUnchecked"")) {//$NON-NLS-1$","} else if (token.equals(""allUnchecked"")) {//$NON-NLS-1$ //$NON-NLS-2$","} else if (token.equals(""lines"")) { //$NON-NLS-1$"
"89","10770.txt","if (mes == null || mes.getInteraction() == null) return new ArrayList();","if (mes == null) return new ArrayList();","if (role == null || role.getNamespace() == null) return new ArrayList();"
"90","10775.txt","logui.getApplicationPreferenceModel().setReceivers(false);","logui.toggleReceiversPanel();","newReceiverButton.addMouseListener(new PopupListener(newReceiverPopup));"
"91","10783.txt","protected","private","protected int i;"
"92","10786.txt","public static String RUN_IN_BACKGROUND = ""RUN_IN_BACKGROUND""; //$NON-NLS-1$","public static String SHOW_USER_JOBS_IN_DIALOG = ""SHOW_USER_JOBS_IN_DIALOG""; //$NON-NLS-1$","public static String DOCK_PERSPECTIVE_BAR = ""DOCK_PERSPECTIVE_BAR""; //$NON-NLS-1$"
"93","10794.txt","continue nextComment;","break nextComment;","continue;"
"94","10798.txt","public int getFailedAssumptionCount() {","public int getUnrunnableCount() {","public int getFailureCount() {"
"95","10799.txt","public boolean isAncestorOf(IJavaElement e) {","protected boolean isAncestorOf(IJavaElement e) {","public boolean equals(Object o) {"
"96","10815.txt","if (this.separatorsPtr == -1) {","if (separatorsPtr == -1) {","if (this.separatorsPtr != (length-1)) {"
"97","10823.txt","setVisible(true);","show();","progress.setStringPainted(true);"
"98","10836.txt","//*** DEBUG *** subReq = req;","subReq = req;","Request subReq=req;"
"99","10841.txt","throw new PartInitException(WorkbenchMessages.format(""EditorManager.invalidDescriptor"", new String[] { desc.getId() })); //$NON-NLS-1$","throw new IllegalStateException();","throw new PartInitException(WorkbenchMessages.format(""EditorManager.siteIncorrect"", new Object[] { desc.getId()})); //$NON-NLS-1$"
"100","10859.txt","typeQualification = CharOperation.concat(IIndexConstants.ONE_STAR, typeQualification);","CharOperation.concat(IIndexConstants.ONE_STAR, typeQualification);","returnTypeQualification = CharOperation.concat(IIndexConstants.ONE_STAR, returnTypeQualification);"
"101","10863.txt","addField(Argo.localize(""UMLMenu"", ""label.name""), getNameTextField());","addField(Argo.localize(""UMLMenu"", ""label.name""), new UMLTextField2(new UMLModelElementNameDocument()));","addField(Argo.localize(""UMLMenu"", ""label.namespace""), getNamespaceScroll());"
"102","10870.txt","setVisible(true);","show();","clips.setVisibleRowCount(12);"
"103","10879.txt","private String compact(String message) {","public String compact(String message) {","private String compactString(String source) {"
"104","10880.txt","public void mouseReleased(MouseEvent evt)","public void mouseClicked(MouseEvent evt)","public void mouseEntered(MouseEvent evt)"
"105","10898.txt","activateOptions(layout);","activateOptions(appender);","oh.activateOptions();"
"106","1090.txt","String path= indexedFile.getPath();","String path= indexedFile.getPath() + indexedFile.propertiesToString();","String[] paths= getPaths();"
"107","10903.txt",".toArray(new IActionSetDescriptor[toRemove.size()]));",".toArray(new IActionSetDescriptor[toAdd.size()]));",".toArray(new IActionSetDescriptor[toAdd.size()]));"
"108","10907.txt","if (cbItem.isEmpty()) {","if (cbItem.getItems().length == 0) {","if (cbItem.isVisible()) {"
"109","10916.txt","System.out.println(""error in run "" + ie);","ie.printStackTrace();","System.out.println(""Error:"");"
"110","10921.txt",": null;",": ((AnnotationMethodDeclaration) methodDeclaration).returnType;","return null;"
"111","10926.txt","if (!flags.getSeen())","if (flags.getSeen())","if (!flag.getSeen())"
"112","10932.txt","public short","public int","public"
"113","10942.txt","private char[] decodedQualification;//TODO: (jerome) is it truly unused?","private char[] decodedQualification;","private char[] decodedSegment;"
"114","10943.txt","address=string2Inet( valueS );","address=string2Inet( prop );","address= string2Inet(valueS);"
"115","10945.txt","MixInTest.class,","CustomRunnerTest.class,","SuiteTest.class,"
"116","10951.txt","for (Iterator it = node.tags().iterator(); it.hasNext(); ) {","for (Iterator it = node.fragments().iterator(); it.hasNext(); ) {","for (Iterator it = node.types().iterator(); it.hasNext(); ) {"
"117","10961.txt","if (staticFieldInfo == FlowInfo.DEAD_END) {","if (staticFieldInfo == FlowInfo.DEAD_END) { // TODO: could move behavior onto flowInfo","if (fieldInfo == FlowInfo.DEAD_END) {"
"118","10980.txt","public static String EditorArea_Tooltip;","public static String ViewPane_moveToTrim;","public static String Exit_toolTip;"
"119","10994.txt","int FORCE_IMMEDIATE_SEARCH = IJob.ForceImmediate; // TODO may discard for 3.0, since it isn't used anyway","int FORCE_IMMEDIATE_SEARCH = IJob.ForceImmediate; // TODO: may discard for 3.0, since it isn't used anyway","int PREFIX_MATCH = 1;"
"120","1100.txt","while (methodOrTypeSignature[i] == ':') {","nextBound: while (methodOrTypeSignature[i] == ':') {","switch (methodOrTypeSignature[i]) {"
"121","11000.txt","assertThat(result.getUnrunnableCount(), is(1));","assertThat(result.getIgnoreCount(), is(1));","assertThat(result.getRunCount(), is(1));"
"122","11013.txt","((ServletHandler)result).init();","result.init();","((ServletHandler)result).getServletInfo()."
"123","11028.txt","setLockedItemText(foundItem, foundItem.getText());","setLockedItemText(foundItem, editor.getLabel());","setLockedItemText(item, item.getText());"
"124","11032.txt","if (!this.type.isAbstract()) {","if (this.type.isClass() && !this.type.isAbstract()) {","if (!methods[i].isAbstract()) {"
"125","1105.txt","void printIndentationIfNecessary() {","private void printIndentationIfNecessary() {","printIndentationIfNecessary();"
"126","11051.txt","return this.expressionType = lhsType;","return lhsType;","int expressionId = expressionType.id;"
"127","11054.txt","if (projectFile == null)","if (projectFile == null || projectNameField.getText().length() > 0)","if (projectNameField == null)"
"128","11058.txt","break;","return null;","boolean ok = false;"
"129","1111.txt","label.setText(""Cat&egory Description:""); //$NON-NLS-1$","label.setText(""D&escription:""); //$NON-NLS-1$","label.setText(""&Categories:""); //$NON-NLS-1$"
"130","1117.txt","ProgressContentProvider provider = (ProgressContentProvider) viewer.getContentProvider();","JobProgressManager provider = JobProgressManager.getInstance();","IContentProvider provider = new ProgressContentProvider(viewer);"
"131","1120.txt","toStringName(buffer);","buffer.append(getElementName());","buffer.append(this.tabString(tab));"
"132","1126.txt","this.number_of_empty_lines_to_preserve = 1;","this.number_of_empty_lines_to_preserve = 0;","this.number_of_empty_lines_to_preserve = 0;"
"133","1129.txt","if (name == null) {","if (name == null || name.length() == 0) {","if (info == null) {"
"134","1134.txt","return """"; //$NON-NLS-1$","return """"/*nonNLS*/;","return 0;"
"135","1158.txt","JavaCore.resetOptions();","JavaCore.setOptionsToDefault();","JavaCore.resetOptions();"
"136","1176.txt","if (this.scanner.currentCharacter != '}' && this.memberAlignment.depth() <= this.currentAlignment.depth()) {","if (this.memberAlignment.depth() <= this.currentAlignment.depth()) {","if (this.scanner.currentCharacter != ' ') {"
"137","118.txt","generateClassLiteralAccessForType(declaringClass, null);","this.ldc(declaringClass);","Util.recordNestedType(this.classFile, declaringClass);"
"138","1194.txt","if (indexInPrevLocals < prevLocalsLength && prevLocalsCounter < prevNumberOfLocals) {","for (;indexInPrevLocals < prevLocalsLength && prevLocalsCounter < prevNumberOfLocals; indexInPrevLocals++) {","for(; indexInPrevLocals < prevLocalsLength && prevLocalsCounter < prevNumberOfLocals; indexInPrevLocals++) {"
"139","120.txt","return Util.bind(""classpath.disabledInclusionExclusionPatterns"", newPath.makeRelative().toString(), projectName); //$NON-NLS-1$","return Util.bind(""classpath.disabledExclusionPatterns"", newPath.makeRelative().toString(), projectName); //$NON-NLS-1$","return Util.bind(""classpath.disabledMultipleOutputLocations"", newPath.makeRelative().toString(), projectName); //$NON-NLS-1$"
"140","1201.txt","addLinkField(namespaceScroll,3,0,0);","addLinkField(new JScrollPane(new UMLList(new UMLNamespaceListModel(this),true)),3,0,0);","addLinkField(extendsScroll,1,1,0);"
"141","1204.txt","optionsMap.put(CompilerOptions.OPTION_ReportEmptyStatement, CompilerOptions.IGNORE);","optionsMap.put(CompilerOptions.OPTION_ReportSuperfluousSemicolon, CompilerOptions.IGNORE);","optionsMap.put(CompilerOptions.OPTION_ReportDeprecation, CompilerOptions.IGNORE);"
"142","121.txt","error(IJavaModelStatusConstants.INVALID_RESOURCE, element);","error(JavaModelStatus.INVALID_RESOURCE, element);","error(IJavaModelStatusConstants.READ_ONLY, element);"
"143","1215.txt","binding = new LocalVariableBinding(this, tb, modifiers, false); // argument decl, but local var  (where isArgument = false)","binding = new LocalVariableBinding(this, tb, modifiers, false); // argument decl, but local var  (i.e. isArgument = false)","this.binding.useFlag = used ? LocalVariableBinding.USED : LocalVariableBinding.UNUSED;"
"144","123.txt","((InternalSearchPattern)this).mustResolve = true;","this.mustResolve = true;","this.enclosingElement = enclosingElement;"
"145","1232.txt","ReferenceBinding superType;","ReferenceBinding invocationType, superType;","ReferenceBinding targetType;"
"146","1249.txt","ScarabCache.clear();","getAttributes().add(attribute);","ScarabCache.put(result, this, GET_ATTRIBUTES);"
"147","1255.txt","if (parent != null) {","if (parent != null && parent.isActive()) {","if (info != null) {"
"148","1264.txt","this.tagSourceStart = previousPosition;","this.tagSourceStart = this.scanner.getCurrentTokenStartPosition();","this.textStart = previousPosition;"
"149","1270.txt","} else if (!(node instanceof CompoundAssignment)){","} else {","} else if (node instanceof FieldDeclaration) {"
"150","1272.txt","return Modifier.NONE;","return 0;","return false;"
"151","1286.txt","return this.expressionType = binding;","return binding;","return new SingleTypeReference(ShortBinding.simpleName, 0);"
"152","1293.txt","return bb.getEnd();","return bb.getOffset();","return bb.getLimit();"
"153","1307.txt","return this.resolvedType = binding == null ? null : binding.returnType;","return binding == null ? null : binding.returnType;","return this.resolvedType = binding.returnType;"
"154","1315.txt","WorkingCopyOwner owner = new BufferFactoryWrapper(factory);","CompilationUnitOwner owner = new DefaultCompilationUnitOwner(factory, null);","IWorkingCopy[] result = new IWorkingCopy[copies.size()];"
"155","1337.txt","protected boolean isClosing() {","private boolean isClosing() {","protected boolean toolBarChildrenExist() {"
"156","1352.txt","setVisible(false);","dispose();","setVisible(true);"
"157","1368.txt","reportDeprecatedType(memberType, scope);","scope.problemReporter().deprecatedType(memberType, this);","if (isTypeUseDeprecated(memberType, scope))"
"158","1369.txt","} catch (Exception e) {","} catch (ClassNotFoundException e) {","} catch (IOException e) {"
"159","1375.txt","str += ""(length: ""+ getIndexFile().length() +"")""; //$NON-NLS-1$ //$NON-NLS-2$","str += ""(length: ""+ getIndexFile().length() +"")""; //$NON-NLS-1$ //$NON-NLS-1$","File tempFile= new File(indexFile.getAbsolutePath() + ""TempVA""); //$NON-NLS-1$"
"160","1381.txt","currentTag = new NLSTag(pos + sourceDelta, end + sourceDelta, currentLine, -1);","currentTag = new NLSTag(pos + currentStartPosition, currentStartPosition + end, currentLine, -1);","currentTag = new NLSTag(pos + sourceDelta, end + sourceDelta, currentLine, extractInt(s, start, end));"
"161","1385.txt","if (fType != null) {","if (JavaModelManager.ENABLE_INDEXING && fType != null) {","if (o != null) {"
"162","1400.txt","if (method.typeVariables != NoTypeVariables && method2.typeVariables != NoTypeVariables)","if (method.typeVariables.length > 0 && method2.typeVariables.length > 0)","if (this.typeVariables != NoTypeVariables) {"
"163","1402.txt","RModuleIssueTypeManager.removeFromCache(this);","save();","RModuleIssueTypePeer.doDelete(c);"
"164","141.txt","AccPrivate | AccStatic | AccSynthetic,","AccPrivate | AccStatic | AccSynthetic | AccFinal,","AccPrivate | AccStatic | AccSynthetic | AccFinal,"
"165","1417.txt","tcr.setForeground(UIManager.getColor(""Table.foreground""));","tcr.setForeground(Color.black);","tcr.setForeground(Color.red);"
"166","1420.txt","this.kind = patternKind;","((InternalSearchPattern)this).kind = patternKind;","this.typeArguments = typeArguments;"
"167","1426.txt","setVisible(true);","show();","super.dispose();"
"168","1429.txt","return getKey(this, true/*with access flags*/, false/*don't open*/);","return getKey(this, org.eclipse.jdt.internal.compiler.lookup.Binding.USE_ACCESS_FLAGS_IN_BINDING_KEY/*with access flags*/, false/*don't open*/);","return getFullyQualifiedName('.', true/*show parameters*/);"
"169","1432.txt","super(""SequenceDiagram"");","super(Translator.localize(""CoreMenu"", ""SequenceDiagram""));","super.actionPerformed(ae);"
"170","1435.txt","if (enclosingTypeNames != null && enclosingNamesLength > 0) {","if (enclosingNamesLength > 0) {","if (enclosingTypeNames != null) {"
"171","1436.txt","if (match != null && match.erasure() != match) { // match can be null: interface.findSuperTypeErasingTo(Object)","if (match.erasure() != match) {","if (maxMethod == currentLength) { // no method was eliminated for 1.4 compliance (see above)"
"172","1446.txt","IMarker.SEVERITY_ERROR,","IMarker.SEVERITY_WARNING,","IMarker.SEVERITY,"
"173","1455.txt","logger.debug(","logger.warn(","logger.error("
"174","1468.txt","} else if (b.getType() == Binding.USER) {","} else {","if (del.getType() == Binding.USER) {"
"175","147.txt","delta.added(workingCopy, IJavaElementDelta.F_PRIMARY_WORKING_COPY);","delta.added(workingCopy);","delta.changed(workingCopy, IJavaElementDelta.F_PRIMARY_WORKING_COPY);"
"176","1473.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"177","1479.txt","if (true) {","if (MainInterface.DEBUG) {","if (font != null) {"
"178","1482.txt","public void addLoggedStatus(IStatus status) {","void addLoggedStatus(IStatus status) {","public void handle(IStatus status) {"
"179","1490.txt","continue;","break;","break;"
"180","1508.txt","if (!flags.getDeleted()) {","if (!flags.getExpunged()) {","if (flags.getSeen()) {"
"181","1514.txt","methodSubstitute.tagBits |= TagBits.HasUncheckedTypeArgumentForBoundCheck;","invocationSite.setUnchecked(true);","methodSubstitute = methodSubstitute.inferFromExpectedType(scope, inferenceContext);"
"182","152.txt","return JavaConventions.validateIdentifier(folderName).isOK();","return folderName.indexOf('.') == -1;","return JavaConventions.validateClassFileName(name).isOK();"
"183","1520.txt","return byteArrayToString(address, true);","return byteArrayToString(address, false);","return byteArrayToString(address, false);"
"184","1523.txt","while (ptr >= 0) {","unresolved: while (ptr >= 0) {","while (bottom <= top) {"
"185","1525.txt","if (!method.isStatic()) previous = method; // no ambiguity for static methods","previous = method;","if (!method.isValidBinding()) return method; // bound check issue is taking precedence"
"186","1534.txt","for (","nextChar : for (","for (int i = 0; i < 6; i++) {"
"187","1535.txt","this.mustResolve = true;","((InternalSearchPattern)this).mustResolve = true;","this.enclosingElement = enclosingElement;"
"188","1539.txt",".format(""WorkbenchPage.ErrorCreatingPerspective"", new Object[] { perspectiveId })); //$NON-NLS-1$",".getString(""WorkbenchPage.ErrorRecreatingPerspective"")); //$NON-NLS-1$","""Workbench.showPerspectiveError"", new Object[] { perspectiveId })); //$NON-NLS-1$"
"189","1554.txt","public Interpreter(RuleStore rs) {","Interpreter(RuleStore rs) {","public RuleStore getRuleStore() {"
"190","1555.txt","ctx1.init();","cm.initContext( ctx1 );","ctx1.addHostAlias( (String)e.nextElement());"
"191","1577.txt","return Status.OK_STATUS;","return new Status(IStatus.OK, PlatformUI.PLUGIN_ID, 0, """", null); //$NON-NLS-1$","return result;"
