"","File","Query","SolutionStr","MySolutionStr"
"47","1426.txt","""{0}"", ""1"", ""0"", null, ""0"", ""0"", ""btree"",","""{0}"", ""1"", ""0"", ""1"", ""0"", ""0"", ""btree"",","""{0}"", ""1"", ""0"", ""1"", ""0"", ""0"", ""btree"","
"48","1429.txt","throw new IndexException(index, size());","throw new IndexException();","throw new IndexException();"
"49","1430.txt","throw new CardinalityException(c[COL], o[ROW]);","throw new CardinalityException();","throw new CardinalityException();"
"50","1431.txt","throw new CardinalityException(size(), v.size());","throw new CardinalityException();","throw new CardinalityException(size(), x.size());"
"51","144.txt","assert enumerator.position == tiOrd.termOrd;","assert (int) enumerator.position == tiOrd.termOrd;","assert (int) enumerator.position == tiOrd.termOrd;"
"52","1451.txt","0, 0);","0, 0, false);","0,"
"53","1459.txt","if (binaryMemtable_.get().isClean())","if (memtable_.isClean())","if (memtable_.isClean())"
"54","1469.txt","""0 AS DATA_TYPE,"" +","""SMALLINT(0) AS DATA_TYPE,"" +","""0 AS SQL_DATA_TYPE,"" +"
"55","148.txt","if (usingDerbyNetClient()) {","if (c instanceof org.apache.derby.client.am.Connection) {","while (tables.next()) {"
"56","1481.txt","destTaxWriter.addTaxonomy(srcTaxDir, map);","destTaxWriter.addTaxonomies(new Directory[] { srcTaxDir }, new OrdinalMap[] { map });","destTaxWriter.commit();"
"57","1489.txt","throw new IllegalArgumentException(""faulty slice operation: bra="" + bra + "",ket="" + ket + "",limit="" + limit);","System.err.println(""faulty slice operation"");","modification, are permitted provided that the following conditions are met:"
"58","1496.txt","public void convict(InetAddress ep);","public void suspect(InetAddress ep);","public void revive(InetAddress ep);"
"59","15.txt","assert request.range.contains(sample.token): ""Token "" + sample.token + "" is not within range "" + request.range;","assert request.range.contains(sample.token);","assert request.range.contains(row.key.token) : row.key.token + "" is not contained in "" + request.range;"
"60","1502.txt","docID = upto = -1;","upto = -1;","docID = -1;"
"61","1509.txt","String queryID;","private String queryID;","String queryID = st.nextToken();"
"62","1510.txt","assertEquals( ""subInfos=(d((9,10)))/1.0(3,103)"", ffl.fragInfos.get( 0 ).toString() );","assertEquals( ""subInfos=(d((6,7)))/1.0(0,100)"", ffl.fragInfos.get( 0 ).toString() );","assertEquals( ""subInfos=(b((2,3)))/1.0(0,20)"", ffl.fragInfos.get( 0 ).toString() );"
"63","1512.txt","assertEquals( ""d(1.0)((9,10))"", fpl.phraseList.get( 0 ).toString() );","assertEquals( ""d(1.0)((6,7))"", fpl.phraseList.get( 0 ).toString() );","assertEquals( ""a(1.0)((0,1))"", fpl.phraseList.get( 0 ).toString() );"
"64","1573.txt","writer.close();","writer.shutdown(false);","reader.close();"
"65","1576.txt","String columnFamily = CliCompiler.getColumnFamily(statement, keyspacesMap.get(keySpace).cf_defs);","String columnFamily = statement.getChild(0).getText();","String columnFamily = CliCompiler.getColumnFamily(columnFamilySpec, keyspacesMap.get(keySpace).cf_defs);"
"66","1590.txt","RandomIndexWriter iw = new RandomIndexWriter(random(), dir, cfg);","RandomIndexWriter iw = new RandomIndexWriter(random(), dir);","RandomIndexWriter iw = new RandomIndexWriter(random(), dir, iwc);"
"67","160.txt","exclusions = exclusiontable.keySet();","exclusions = new HashSet(exclusiontable.keySet());","exclusions = exclusiontable;"
"68","1603.txt","if (!se.isLockTimeout())","if (!se.getMessageId().equals(SQLState.LOCK_TIMEOUT))","if (savePoints.size() > 20)"
"69","1605.txt","else if (se.isLockTimeout())","else if (SQLState.LOCK_TIMEOUT.equals(se.getMessageId()))","else"
"70","1615.txt","return (DatabaseDescriptor.getReplicationFactor(table) / 2) + 1;","return (DatabaseDescriptor.getQuorum(table)/ 2) + 1;","return DatabaseDescriptor.getReplicationFactor(table);"
"71","1627.txt","protected Query getFieldQuery(String field, String queryText, boolean quoted)","protected Query getFieldQuery(String field, String queryText)","protected Query getFieldQuery(String field, String queryText, int slop)"
"72","1629.txt","zkStateReaderMock.getBaseUrlForNodeName(address);","solrZkClientMock.getBaseUrlForNodeName(address);","zkStateReaderMock.getClusterState();"
"73","1666.txt","while (_termPositionsQueue.peek() != null && target > _termPositionsQueue.peek().doc())","while (target > _termPositionsQueue.peek().doc())","while (_termPositionsQueue.size() > 0)"
"74","1675.txt","return mergeShardsChance;","return readRepairChance;","return readRepairChance;"
"75","1677.txt","return new Leaf(Double.NaN);","return new Leaf(-1);","return new Leaf(label);"
"76","1721.txt","0),","false),","drillDownTerm.field(), drillDownTerm.bytes(),"
"77","1729.txt","0);","false);","for(int i=0;i<NUM_THREADS;i++)"
"78","1732.txt","0);","false);","});"
"79","1737.txt","0);","false);","for (int i = 0; i < map1.maxDoc(); ++i) {"
"80","1746.txt","0);","false);","tiq.pop(); // remove lowest in tiq"
"81","175.txt","this.localeFinder = other.localeFinder;","this.localeFinder = localeFinder;","this.localeFinder = localeFinder;"
"82","1761.txt","if (totalCharsSoFar > -1) {","if (totalCharsSoFar != -1) {","if (totalCharsSoFar != -1) {"
"83","1769.txt","return buildUrl(jetty.getLocalPort(), ""/solr"");","return ""http"" + (isSSLMode() ? ""s"" : """") +""://127.0.0.1:"" + jetty.getLocalPort() + ""/solr"";","return jetty;"
"84","1772.txt","return buildUrl(port, ""/solr"");","return ""http"" + (isSSLMode() ? ""s"" : """") + ""://127.0.0.1:"" + port + ""/solr"";","return;"
"85","1773.txt","the index.</LI>","the index, this can only happen if this is not a user transaction.</LI>","the database."
"86","1778.txt","""term (phrase1 phrase2) term"");","""term phrase1 phrase2 term"");","""+term -(phrase1 phrase2) term"");"
"87","1784.txt","System.out.println(Thread.currentThread().getName() + "": EXC: "");","System.out.println(""EXC: "");","System.out.println(Thread.currentThread().getName() + "": NOW FAIL: "" + name);"
"88","179.txt","final synchronized long getRecomputedActualSizeInBytes() {","final long getRecomputedActualSizeInBytes() {","public synchronized final long getRecomputedSizeInBytes() {"
"89","1797.txt","docID = upto = -1;","upto = -1;","docID = -1;"
"90","1806.txt","cs.setString(2, ""TESTLONGVARCHAR"");","cs.setString(2, ""testLongVarChar"");","cs.setString(1, ""APP"");"
"91","1812.txt","logger_.error(""error closing "" + ci, th);","logger_.error(th);","logger_.error(""Corrupt file "" + filename, ex);"
"92","1814.txt","return 1;","return -1;","return -1;"
"93","1856.txt","privExists(getMirrorControlFileName()))","getMirrorControlFileName().exists())","if (privExists(logControlFileName))"
"94","1866.txt","return supportsUDTs_;","return supportsSessionDataCaching_;","return supportsQryclsimp_;"
"95","1881.txt","sb.append(Format.format(2, ad[n],template));","sb.append(Format.format(2, (float) ad[n],template));","sb.append(Format.format(ai[n],template));"
"96","1926.txt","return copy(Version.LUCENE_30, set);","return (set instanceof CharArraySet) ? copy((CharArraySet) set) : copy(Version.LUCENE_30, set);","return code;"
"97","1931.txt","return (Class<? extends ListResourceBundle>) b.loadClass(bundleName);","return b.loadClass(bundleName);","result = new PropertyResourceBundle(url.openStream());"
"98","1934.txt","Path clustersIn = new Path(output, ""clusters-8-final"");","Path clustersIn = new Path(output, ""clusters-7-final"");","Path clustersIn = new Path(output, ""clusters-0-final"");"
"99","1938.txt","public static String simpleTag(String tag, String... args) {","private static String simpleTag(String tag, String... args) {","public static String deleteById(String id, String... args) {"
"100","1954.txt","this.xid = null;","xid = null;","xid = null;"
"101","1955.txt","ntt.commit();","ntt.commitNoSync(Transaction.RELEASE_LOCKS);","ntt.close();"
"102","1975.txt","if (uniqueTerms.size() > 1) {","if (i > 0) {","if (!terms.contains(t)) {"
"103","1982.txt","privExists(getMirrorControlFileName()))","getMirrorControlFileName().exists())","if (privExists(logControlFileName))"
"104","1991.txt","return new HeapRowLocation();","return null;","return new HeapRowLocation(this);"
"105","20.txt","current = start;","current = newText.getIndex();","current = end;"
"106","2009.txt","assertQ(req(""id:42 AND subword:\""IBM'sx\"""")","assertQ(req(""id:42 AND subword:IBM'sx"")","assertQ(req(""id:42 AND subword:\""I B M\"""")"
"107","2025.txt","return ByteBufferUtil.bytes(source, Charsets.US_ASCII);","return ByteBuffer.wrap(source.getBytes(Charsets.US_ASCII));","return ByteBufferUtil.string(bytes, Charsets.US_ASCII);"
"108","2026.txt","String STORE_DATA_SEG_BACKUP_COMPLETED  = ""D006"";","String STORE_COPIED_DB_DIR              = ""D006"";","String STORE_BACKUP_COMPLETED           = ""D012"";"
"109","2033.txt","logger.debug(""Command/ConsistencyLevel is {}/{}"", command.toString(), consistency_level);","logger.debug(command.toString());","logger.debug(""Command/ConsistencyLevel is {}/{}"", command, consistency_level);"
"110","2035.txt","StopFilter stpf = new StopFilter(TEST_VERSION_CURRENT, new MockTokenizer(new StringReader(""test of""), MockTokenizer.WHITESPACE, false), stopSet);","StopFilter stpf = new StopFilter(Version.LUCENE_40, new MockTokenizer(new StringReader(""test of""), MockTokenizer.WHITESPACE, false), stopSet);","StopFilter stpf0 = new StopFilter(TEST_VERSION_CURRENT, new MockTokenizer(reader, MockTokenizer.WHITESPACE, false), stopSet0); // first part of the set"
"111","2045.txt","input.readInt(); // Read total size","int totalSize = input.readInt();","int msheader = input.readInt();"
"112","2046.txt","return o2.compareTo(o1);","return -o1.compareTo(o2);","return o1.compareTo(o2);"
"113","2058.txt","public static String simpleTag(String tag, String... args) {","private static String simpleTag(String tag, String... args) {","public static String deleteById(String id, String... args) {"
"114","2066.txt",".println(""          <A href=\""http://aries.apache.org/\"" title=\""Apache Aries \"">"");",".println(""          <A href=\""http://aries.apache.org/aries/\"" title=\""Apache Aries \"">"");",".println(""          <IMG border=\""0\"" src=\""images/feather.png\"">"");"
"115","2070.txt","if (keepCurrentDefault)","if (defaultNode == null)","if (isAutoincrement == false)"
"116","2088.txt","result.put(colName, resultSet.getTimestamp(colName));","result.put(colName, resultSet.getDate(colName));","result.put(colName, resultSet.getBytes(colName));"
"117","2090.txt","if (u1.version() == 1 && u2.version() == 1)","if (u1.version() == 1)","if (u1.version() != u2.version())"
"118","2095.txt","ref.copyChars(charArray, offset, length);","ref.copy(charArray, offset, length);","ref.append(charArray, offset, length);"
"119","2111.txt","for (int i = 0; i < 100*_TestUtil.getRandomMultiplier(); i++) {","for (int i = 0; i < 10; i++) {","for (int i = 1; i < numFields; i++) {"
"120","2112.txt","void incRef(Collection<String> files) throws IOException {","void incRef(List<String> files) throws IOException {","void decRef(Collection<String> files) throws IOException {"
"121","2115.txt","+info+"". Triggers got fired in this order:""+TRIGGER_INFO.get().toString(), orderOk);","+info, orderOk);","int fireCount = assertFiringOrder(""INSERT"", 1);"
"122","2116.txt","logMsg(LINE);","istream.println(LINE);","logMsg(osInfo);"
"123","2127.txt","handleResponse(OverseerCollectionProcessor.DELETEALIAS, m, rsp);","handleResponse(OverseerCollectionProcessor.CREATEALIAS, m, rsp);","handleResponse(OverseerCollectionProcessor.DELETESHARD, m, rsp);"
"124","2133.txt","public int size() {","public int size() throws IOException {","public int numDocs() {"
"125","2136.txt","maxCapacity,","-1,                 // RESOLVE - when should it go to disk?","stopSearchOperator,"
"126","2143.txt","false);","0);","fail();"
"127","2146.txt","false);","0);","false, codec, null, null),"
"128","2148.txt","false);","0);","d.close();"
"129","2167.txt","false),","0),","if (!advance(p2, d1)) {"
"130","217.txt","Query query = c.query.rewrite(reader);    // rewrite first","Query query = c.query;","Query query = c.query.rewrite(reader);"
"131","2171.txt","false);","0);","else {"
"132","2174.txt","{""XSLA4"",""Error encountered when attempting to write the transaction recovery log. Most likely the disk holding the recovery log is full. If the disk is full, the only way to proceed is to free up space on the disk by either expanding it or deleting files not related to Derby. It is also possible that the file system and/or disk where the Derby transaction log resides is read-only. The error can also be encountered if the disk or file system has failed."",""45000""},","{""XSLA4"",""Cannot write to the log, most likely the log is full.  Please delete unnecessary files.  It is also possible that the file system is read only, or the disk has failed, or some other problems with the media.  "",""45000""},","{""08004"",""Connection authentication failure occurred. Either the supplied credentials were invalid, or the database uses a password encryption scheme not compatible with the strong password substitution security mechanism. If this error started after upgrade, refer to the release note for DERBY-4483 for options."",""40000""},"
"133","2176.txt","""select a, length(a), b from testClobTriggerB order by b"");","""select a, length(a), b from testClobTriggerA order by b"");","""select a, length(a), b from testClobTriggerA order by b"");"
"134","2178.txt","FullRunningAverageAndStdDevWritable.class,","FloatWritable.class,","VarLongWritable.class,"
"135","2182.txt","sessionState.out.println(""      Compaction Strategy Options:"");","sessionState.out.printf(""      Compaction Strategy Options: %s%n"", cf_def.compaction_strategy);","sessionState.out.println(""   Schema versions: "");"
"136","2189.txt","return v == null ? 0 : v;","return v == null ? 0.01 : v;","return v == null ? 0.01 : v;"
"137","2199.txt","return getCFMetaData(tableName, cfName).subcolumnComparator;","return getCFMetaData(tableName, cfName).comparator;","return getCFMetaData(tableName, cfName).comparator;"
"138","220.txt","/* not until java 6 @Override */","@Override","/** Gets the locale to run tests with */"
"139","2209.txt","throws IOException, StandardException {","throws IOException, SQLException, StandardException {","throws IOException, SQLException {"
"140","2211.txt","destTaxWriter.addTaxonomy(srcTaxDir, map);","destTaxWriter.addTaxonomies(new Directory[] { srcTaxDir }, new OrdinalMap[] { map });","destTaxWriter.commit();"
"141","2213.txt","URL url = new URL( ""http://svn.apache.org/repos/asf/lucene/dev/trunk/"" );","URL url = new URL( ""http://svn.apache.org/repos/asf/lucene/solr/trunk/"" );","stream = new ContentStreamBase.URLStream( url );"
"142","2216.txt","if (r2 != null) {","if (r2 != r) {","if (td != null) {"
"143","2221.txt","this.columns = (ResultColumnDescriptor[]) ArrayUtil.copy( columns );","this.columns = columns;","return (ResultColumnDescriptor[]) ArrayUtil.copy( columns );"
"144","2227.txt","new BytesType(),","new UTF8Type(),","new UTF8Type(),"
"145","2228.txt","final int size = allInstances.size();","final int size=0;","final int count = allInstances.size();"
"146","2233.txt","super(core, updateHandler.getUpdateLog());","super(core);","super(core);"
"147","2238.txt","NamedList<Object> commands = new SimpleOrderedMap<Object>();","NamedList<Object> commands = new NamedList<Object>();","NamedList<Object> command = new SimpleOrderedMap<Object>();"
"148","2239.txt","generateTime - beginTime, //total compile time","getElapsedTimeMillis(beginTime),","generateTime - optimizeTime, //generate time"
"149","2240.txt","return -result;","return result / model.thetaNormalizer(label);","return r;"
"150","2241.txt","assertUpdatePrivilege(true, users[4], ""S1"", ""T1"", new String[] {""C2"", ""C3""});","assertUpdatePrivilege(false, users[4], ""S1"", ""T1"", new String[] {""C2"", ""C3""});","assertUpdatePrivilege(true, users[2], ""S2"", ""T1"", new String[] {""C1"", ""C3""});"
"151","2249.txt","public static final JDBCClient DERBYNETCLIENT= new JDBCClient(","static final JDBCClient DERBYNETCLIENT= new JDBCClient(","public static final JDBCClient EMBEDDED_30= new JDBCClient("
"152","2252.txt","assertTrue(qr.hasFullRank());","assertFalse(qr.hasFullRank());","assertFalse(qr.hasFullRank());"
"153","2258.txt","return token.toString();","return ""Token("" + token + "")"";","return token.hashCode();"
"154","2277.txt","if (!columnNames.isEmpty())","if (columnNames != EMPTY_COLUMNS)","if (columns.size() > 0)"
"155","2278.txt","AvroValidation.validateColumnPath(keyspace, newColumnPath(cfName, null, cosc.column.name));","AvroValidation.validateColumnPath(keyspace, newColumnPath(cfName, cosc.super_column.name, cosc.column.name));","AvroValidation.validateColumnPath(keyspace, newColumnPath(cfName, cosc.super_column.name, c.name));"
"156","2284.txt","if ((rc != XAResource.XA_OK ) && (rc != XAResource.XA_RDONLY)) {","if (rc != XAResource.XA_OK) {","if (rc != XAResource.XA_OK)"
"157","2286.txt","new String[][] {{""1"",null}});","null);","new String[][] {{""1""} });"
"158","2289.txt","assertEquals(""count"", 3, count);","assertEquals(""count"", 4, count);","assertEquals(""count"", 5, count);"
"159","2292.txt","if (resultColumn.isGenerated())","if (resultColumn.isGenerated() || resultColumn.isGeneratedForUnmatchedColumnInInsert())","if ((! resultColumn.isReferenced()) &&"
"160","2310.txt","throw new InvalidRequestException(""supercolumn parameter is not optional for super CF "" + column_path.column_family);","throw new InvalidRequestException(""column parameter is not optional for super CF "" + column_path.column_family);","throw new InvalidRequestException(""supercolumn parameter is invalid for standard CF "" + column_path.column_family);"
"161","2314.txt","indexStream.seek((docStoreOffset+startDocID) * 8L);","indexStream.seek(startDocID * 8L);","indexStream.seek((n + docStoreOffset) * 8L);"
"162","232.txt","int retValue = stream.read(b, off, actualLength);","int retValue = super.read(b, off, actualLength);","int retValue = stream.read(b, 0, actualLength);"
"163","2330.txt","catch (Throwable e)","catch (Exception e)","catch (TException e)"
"164","2331.txt","this.xid = null;","xid = null;","xid = null;"
"165","2334.txt","return _exportServices;","return _exportPackages;","return _importServices;"
"166","2341.txt","dir.sync(Collections.singleton(fileName));","dir.sync(fileName);","dir.deleteFile(fileName);"
"167","2345.txt","zkController.getZkStateReader().addShardZkNodeWatches();","zkController.addShardZkNodeWatches();","zkController.getZkStateReader().updateCloudState(true);"
"168","2348.txt","consolePropertyMessage(""DRDA_MissingValue.U"", ""DRDA_SslMode.I"");","setSSLMode(SSL_OFF);","consolePropertyMessage(""DRDA_MissingValue.U"", ""DRDA_User.I"");"
"169","2350.txt","return true;","return false;","return false;"
"170","2358.txt","//@Override -- not until Java 1.6","@Override","@Override"
"171","237.txt","public enum Type {","enum Type {","public static enum Mode {"
"172","2371.txt","valueString = new String(readBytes, ""US-ASCII"");","valueString = new String(readBytes);","valueString = new String(readBytes);"
"173","2376.txt","throw new SQLException(""column 3 is NOT ai!"");","throw new SQLException(""column 2 is NOT ai!"");","throw new SQLException(""column 1 is NOT ai!"");"
"174","2390.txt","if (rows < 0) {","if (rows < 0 || (maxRows_ != 0 && rows > maxRows_)) {","if (rows > 0) {"
"175","2422.txt","assertTrue(deleteReader.getDeletedDocs().get(0));","assertTrue(deleteReader.isDeleted(0) == true);","assertTrue(deleteReader.numDocs() == 0);"
"176","2434.txt","return supportsBooleanValues_;","return supportsUDTs_;","return supportsUDTs_;"
"177","2437.txt","return ""http://"" + hostAndPort + (path.isEmpty() ? """" : (""/"" + path));","return ""http://"" + hostAndPort + ""/"" + path;","return;"
"178","2446.txt","if (cf == null || cf.getColumnCount() == 0)","if (cf == null)","if (cf == null)"
"179","245.txt","positionsIncrements[i] = _TestUtil.nextInt(random(), 1, 1 << 18);","positionsIncrements[i] = random().nextInt(1 << 18);","positionsIncrements[i] = _TestUtil.nextInt(random(), 1, 1 << 5);"
"180","2458.txt","maxScale = 31; // Max Scale for Decimal & Numeric is 31: Derby-2262","maxScale = 32767; // 31; BUG DERBY-2262","maxScale = 6;"
"181","248.txt","valueString = new String(readBytes, ""US-ASCII"");","valueString = new String(readBytes);","valueString = new String(readBytes);"
"182","2485.txt","private static volatile Gossiper gossiper_;","static Gossiper gossiper_;","private static Logger logger_ = Logger.getLogger(Gossiper.class);"
"183","2487.txt","public  static  String   varchar_String_String( Object a ) { return ""-1""; }","//    public  static  String   varchar_String_String( Object a ) { return ""-1""; }","public  static  String   varchar_String_String( byte a ) { return ""-1""; }"
"184","2495.txt","if (!se.isLockTimeout())","if (!se.getMessageId().equals(SQLState.LOCK_TIMEOUT))","if (savePoints.size() > 20)"
"185","2497.txt","else if (se.isLockTimeout())","else if (SQLState.LOCK_TIMEOUT.equals(se.getMessageId()))","else"
"186","2501.txt","builder.append(filter);","builder.append('(').append(filter).append(')');","builder.append(')');"
"187","2503.txt","if (!se.isLockTimeout())","if (!se.getMessageId().equals(SQLState.LOCK_TIMEOUT))","if (savePoints.size() > 20)"
"188","2505.txt","else if (se.isLockTimeout())","else if (SQLState.LOCK_TIMEOUT.equals(se.getMessageId()))","else"
"189","2519.txt","dd.pushDataDictionaryContext(cm);","dd.pushDataDictionaryContext(cm, false);","pushDataDictionaryContext(cm);"
"190","2523.txt","return (int) getLong();","return (int) Double.doubleToLongBits(getDouble());","return (int) lv;"
"191","2531.txt","{""ID"", ""2"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""3"", ""1"", ""1"", ""D3175"", ""T"", ""R""}","{""ID"", ""2"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""22"", ""1"", ""1"", ""D3175"", ""T"", ""R""}","{""ID"", ""3"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""1"", ""1"", ""1"", ""D3175"", ""T"", ""R""}"
"192","2538.txt","public static final String VER = ""ver"";","private static final String VER = ""ver"";","public static final String OVERWRITE = ""ow"";"
"193","2554.txt","coreContainer.register(core, false);","coreContainer.register(dcore.getName(), core, false);","coreContainer.register(name, core, false);"
