"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"84","84.txt","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext);","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext, field.forceSource());","textsToHighlight = HighlightUtils.loadFieldValues(mapper, context, hitContext, field.forceSource());",102,102,0
"85","85.txt","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext);","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext, field.forceSource());","List<Object> textsToHighlight = HighlightUtils.loadFieldValues(fieldMapper, context, hitContext, field.forceSource());",96,96,0
"86","86.txt","context.parsedFilter(filter);","context.parsedPostFilter(filter);","context.parsedPostFilter(filter);",40,40,0
"87","87.txt","return distance / 10000.0;","return distance / 1000.0;","return distance / 1000.0;",61,61,0
"88","88.txt",".setFilter(termFilter(""tag"", ""blue""))",".setPostFilter(termFilter(""tag"", ""blue""))",".setPostFilter(termFilter(""tag"", ""blue""))",674,674,0
"89","89.txt","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setFilter(filter).execute().actionGet();","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setPostFilter(filter).execute().actionGet();","SearchResponse result = client().prepareSearch(""test"").setQuery(QueryBuilders.matchAllQuery()).setPostFilter(filter).execute().actionGet();",254,254,0
"90","9.txt","import com.badlogic.gdx.physics.bullet.dynamics.btRaycastVehicle.btVehicleTuning;","import com.badlogic.gdx.physics.bullet.dynamics.btVehicleTuning;","import com.badlogic.gdx.physics.bullet.dynamics.btVehicleTuning;",40,40,0
"91","90.txt",".setFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",".setPostFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",".setPostFilter(FilterBuilders.existsFilter(""sparse_bytes"")).setSize(size).addSort(""sparse_bytes"", SortOrder.ASC).execute()",172,172,0
"92","91.txt","QueryBuilders.fieldQuery(""foo"", ""1"")","QueryBuilders.matchQuery(""foo"", ""1"")","QueryBuilders.matchQuery(""foo"", ""1"")",177,177,0
"93","92.txt","listener.onFailure(new InternalException(actionName, request));","listener.onFailure(new InternalException(actionName, request.getHeaders()));","listener.onFailure(new InternalException(actionName, request.getHeaders()));",87,87,0
"94","93.txt","handler.handleException(new TransportException("""", new InternalException(action, request)));","handler.handleException(new TransportException("""", new InternalException(action, request.getHeaders())));","handler.handleException(new TransportException("""", new InternalException(action, request.getHeaders())));",71,71,0
"95","94.txt","tokenFiltersBindings.processTokenFilter(""kstem"", KStemTokenFilterFactory.class);","tokenFiltersBindings.processTokenFilter(""k_stem"", KStemTokenFilterFactory.class);","tokenFiltersBindings.processTokenFilter(""k_stem"", KStemTokenFilterFactory.class);",333,333,0
"96","95.txt","client.admin().cluster().health(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {","client.admin().cluster().execHealth(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {","client.admin().cluster().execHealth(clusterHealthRequest, new ActionListener<ClusterHealthResponse>() {",79,79,0
"97","96.txt","client.admin().cluster().nodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {","client.admin().cluster().execNodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {","client.admin().cluster().execNodesInfo(nodesInfoRequest, new ActionListener<NodesInfoResponse>() {",54,54,0
"98","97.txt","client.admin().cluster().ping(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {","client.admin().cluster().execPing(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {","client.admin().cluster().execPing(broadcastPingRequest, new ActionListener<BroadcastPingResponse>() {",59,59,0
"99","98.txt","client.admin().cluster().ping(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {","client.admin().cluster().execPing(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {","client.admin().cluster().execPing(replicationPingRequest, new ActionListener<ReplicationPingResponse>() {",54,54,0
"100","99.txt","client.admin().cluster().ping(singlePingRequest, new ActionListener<SinglePingResponse>() {","client.admin().cluster().execPing(singlePingRequest, new ActionListener<SinglePingResponse>() {","client.admin().cluster().execPing(singlePingRequest, new ActionListener<SinglePingResponse>() {",53,53,0
