"","File","Query","SolutionStr","MySolutionStr","SolutionLine","MySolutionLine","Loss"
"34","10027.txt","MessageFolder createFolder(int folderId);","Folder createFolder(int folderId);","Folder createFolder(int folderId);",27,27,0
"35","10028.txt","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.notClassFileName""), null); //$NON-NLS-1$","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.notJavaName""), null); //$NON-NLS-1$","return new Status(IStatus.ERROR, JavaCore.PLUGIN_ID, -1, Util.bind(""convention.classFile.nullName""), null); //$NON-NLS-1$",222,213,0.999999969540041
"36","10029.txt","import org.columba.mail.resourceloader.MailImageLoader;","import org.columba.mail.gui.util.MailImageLoader;","import org.columba.mail.gui.util.MailImageLoader;",34,34,0
"37","1003.txt","buffer.append(""Built delta:\n""); //$NON-NLS-1$","buffer.append(""Built delta:\n""/*nonNLS*/);","buffer.append(""Built delta:\n""/*nonNLS*/);",425,425,0
"38","10030.txt","private static final String COMMAND_ID = IWorkbenchCommandConstants.WINDOW_PIN_EDITOR;","private static final String COMMAND_ID = IWorkbenchCommandConstants.WINDOW_PINEDITOR;","private static final String COMMAND_ID = IWorkbenchCommandConstants.WINDOW_PINEDITOR;",106,106,0
"39","10031.txt","getFrameMediator()","getFrameController()","getFrameController()",57,57,0
"40","10032.txt","return RequestUtil.getLocales(request.getMimeHeaders());","return RequestUtil.getLocales(request);","return RequestUtil.getLocales(request);",363,363,0
"41","10033.txt","import javax.swing.*;","import com.sun.java.swing.*;","import com.sun.java.swing.*;",30,30,0
"42","10034.txt","DataByteInputStream in)","DataByteInputStream in, Compression c)","DataByteInputStream in, Compression c)",53,53,0
"43","10035.txt","import org.eclipse.ui.commands.IKeyBindingDefinition;","import org.eclipse.ui.commands.registry.IKeyBindingDefinition;","import org.eclipse.ui.commands.registry.IKeyBindingDefinition;",14,14,0
"44","10036.txt","if (this.isCaseSensitive || this.isCamelCase) {","if ((isCaseSensitive() || isCamelCase()) ) {","if ((isCaseSensitive() || isCamelCase()) ) {",51,51,0
"45","10037.txt","String baseName = ""$anonymous""/*nonNLS*/;","String baseName = ""$anonymous""; //$NON-NLS-1$","String baseName = ""$anonymous""; //$NON-NLS-1$",26,26,0
"46","10038.txt","fireVetoableChangeNoCompare(""referencedElemement"", _referencedElement, x);","fireVetoableChange(""referencedElemement"", _referencedElement, x);","fireVetoableChange(""referencedElemement"", _referencedElement, x);",57,57,0
"47","10039.txt","URL baseURL = context.getDocumentBase();","URL baseURL = context.getServletBase();","URL baseURL = context.getServletBase();",90,90,0
"48","1004.txt","if (this.indexSelector == null) { // only check once. As long as this job is used, it will keep the same index picture","if (this.indexSelector == null) { // only check once, i.e. as long as this job is used, it will keep the same index picture","if (this.indexSelector == null) {",113,82,1
"49","10040.txt","PluginManager.getInstance().initExternalPlugins();","PluginManager.getInstance().initCorePlugins();","PluginManager.getInstance().initCorePlugins();",99,99,0
"50","10041.txt","? ProgressManagerUtil.getNonModalShell()","? ProgressManagerUtil.getDefaultParent()","? ProgressManagerUtil.getDefaultParent()",247,247,0
"51","10042.txt","import org.frapuccino.addresscombobox.AddressComboBox;","import org.frappucino.addresscombobox.AddressComboBox;","import org.frappucino.addresscombobox.AddressComboBox;",26,26,0
"52","10043.txt","System.out.println(""Stopping tomcat on "" + host + "":"" +port +"" ""","System.out.println(""Stoping tomcat on "" + host + "":"" +port +"" ""","System.out.println(""Stoping tomcat on "" + host + "":"" +port +"" """,219,219,0
"53","10044.txt","in = ((IFile) resource).getContents(true);","in = ((IFile) resource).getContents();","in = ((IFile) resource).getContents();",1389,1389,0
"54","10045.txt","if(debugBuffer != null && key != null)","if(evt != null)","if(debugBuffer != null)",393,375,1
"55","10046.txt","String DEFAULT_PACKAGEROOT_PATH = """"/*nonNLS*/;","String DEFAULT_PACKAGEROOT_PATH = """"; //$NON-NLS-1$","String DEFAULT_PACKAGEROOT_PATH = """"; //$NON-NLS-1$",43,43,0
"56","10047.txt","return ""TypeNode("" + fType.getFileName() + "")""; //$NON-NLS-1$ //$NON-NLS-2$","return ""TypeNode(""/*nonNLS*/ + fType.getFileName() + "")""/*nonNLS*/;","return ""TypeNode(""/*nonNLS*/ + fType.getFileName() + "")""/*nonNLS*/;",66,66,0
"57","10048.txt","Create a new PropertyGetter for the specified Object. This is done","Create a new PropertySetter for the specified Object. This is done","Create a new PropertySetter for the specified Object. This is done",35,35,0
"58","10049.txt","return qualification.toString(0)+"".super""/*nonNLS*/ ;","return qualification.toString(0)+"".super"" ;","return qualification.toString(0)+"".super"" ;",39,39,0
"59","1005.txt","((win.getWidth() - 2) * progress) / 5,PROGRESS_HEIGHT);","((win.getWidth() - 2) * progress) / 6,PROGRESS_HEIGHT);","((win.getWidth() - 2) * progress) / 6,PROGRESS_HEIGHT);",131,131,0
"60","10050.txt","IPluginManager manager = PluginManager.getInstance();","PluginManager manager = PluginManager.getInstance();","PluginManager manager = PluginManager.getInstance();",56,56,0
"61","10051.txt","import org.junit.internal.matchers.Each;","import org.junit.matchers.Each;","import org.junit.matchers.Each;",6,6,0
"62","10052.txt","import org.columba.core.main.MainInterface;","import org.columba.main.MainInterface;","import org.columba.main.MainInterface;",19,19,0
"63","10053.txt","FolderCommandReference[] selection = (FolderCommandReference[]) getFrameMediator().getSelectionManager().getSelection(""mail.tree"");","FolderCommandReference[] selection = (FolderCommandReference[]) getFrameController().getSelectionManager().getSelection(""mail.tree"");","FolderCommandReference[] selection = (FolderCommandReference[]) getFrameController().getSelectionManager().getSelection(""mail.tree"");",69,69,0
"64","10054.txt","KeyStroke.getKeyStroke(KeyEvent.VK_B, InputEvent.CTRL_MASK),","KeyStroke.getKeyStroke(KeyEvent.VK_B, InputEvent.ALT_MASK),","KeyStroke.getKeyStroke(KeyEvent.VK_B, InputEvent.ALT_MASK),",670,670,0
"65","10055.txt","String principalName = ctx.getCallerPrincipal().getName();","String principalName = ctx.getEJBContext().getCallerPrincipal().getName();","String principalName = ctx.getEJBContext().getCallerPrincipal().getName();",188,188,0
"66","10056.txt","if (activity.match(objectId.toString())) {","if (activity.isMatch(objectId.toString())) {","if (activity.isMatch(objectId.toString())) {",259,259,0
"67","10057.txt","return ""Locator for "" + this.pattern.toString(); //$NON-NLS-1$","return ""Locator for "" + this.pattern.toString();","return ""Locator for "" + this.pattern.toString();",316,316,0
"68","10058.txt","extends BaseAttributeOption","extends ZZBaseAttributeOption","extends ZZBaseAttributeOption",27,27,0
"69","10059.txt","int lineNumber = Util.getLineNumber(sourcePos, lineSeparatorPositions, 0, lineSeparatorPositions.length-1);","int lineNumber = Util.searchLineNumber(lineSeparatorPositions, sourcePos);","int lineNumber = Util.searchLineNumber(lineSeparatorPositions, sourcePos);",5768,5768,0
"70","1006.txt","result.setSourceRange(getStartPosition(), getLength());","result.setSourceRange(this.getStartPosition(), this.getLength());","result.setSourceRange(this.getStartPosition(), this.getLength());",124,124,0
"71","10060.txt","ParameterizedTypeBinding  superType = environment().createParameterizedType(rootEnumType, new TypeBinding[]{ environment().convertToRawType(sourceType, false /*do not force conversion of enclosing types*/) } , null);","ParameterizedTypeBinding  superType = environment().createParameterizedType(rootEnumType, new TypeBinding[]{ environment().convertToRawType(sourceType) } , null);","ParameterizedTypeBinding  superType = environment().createParameterizedType(rootEnumType, new TypeBinding[]{ environment().convertToRawType(sourceType) } , null);",898,898,0
"72","10061.txt","public int literalIndexForMethod(char[] selector, char[] signature) {","private int literalIndexForMethod(char[] selector, char[] signature) {","public int literalIndex(char[] stringCharArray, byte[] utf8encoding) {",487,179,1
"73","10062.txt","import org.columba.core.gui.toolbar.ToolbarButton;","import org.columba.core.gui.util.ToolbarButton;","import org.columba.core.gui.util.ToolbarButton;",25,25,0
"74","10063.txt","BufferManager bufManager = getBufferManager();","IBufferManager bufManager = getBufferManager();","IBufferManager bufManager = getBufferManager();",337,337,0
"75","10064.txt","preferences.setDefault(COMPILER_PB_SUPERFLUOUS_SEMICOLON, WARNING);","preferences.setDefault(COMPILER_PB_SUPERFLUOUS_SEMICOLON, IGNORE);","preferences.setDefault(COMPILER_PB_SUPERFLUOUS_SEMICOLON, IGNORE);",2105,2105,0
"76","10065.txt","setActiveFastView(ref);","showFastView(ref);","setActiveFastView(null);",2078,548,1
"77","10066.txt","import org.eclipse.core.runtime.dynamichelpers.IExtensionTracker;","import org.eclipse.core.runtime.dynamicHelpers.IExtensionTracker;","import org.eclipse.core.runtime.dynamicHelpers.IExtensionTracker;",14,14,0
"78","10067.txt","String str = ""ExtendedStringLiteral{""+ new String(source) +""}""; //$NON-NLS-2$ //$NON-NLS-1$","String str = ""ExtendedStringLiteral{""/*nonNLS*/+ new String(source) +""}""/*nonNLS*/;","String str = ""ExtendedStringLiteral{""/*nonNLS*/+ new String(source) +""}""/*nonNLS*/;",49,49,0
"79","10068.txt","buffer.append(elements[i]).append(""\n""); //$NON-NLS-1$","buffer.append(elements[i]).append(""\n""/*nonNLS*/);","buffer.append(elements[i]).append(""\n""/*nonNLS*/);",60,60,0
"80","10069.txt","if (root.getKind() == IPackageFragmentRoot.K_BINARY) {","if (root.isArchive()) {","if (parent instanceof IPackageFragmentRoot) {",123,116,0.999998336943945
"81","1007.txt","import org.eclipse.ui.contexts.IContextDefinition;","import org.eclipse.ui.contexts.registry.IContextDefinition;","import org.eclipse.ui.contexts.registry.IContextDefinition;",19,19,0
"82","10070.txt","return ""Unresolved type "" + ((this.compoundName != null) ? CharOperation.toString(this.compoundName) : ""UNNAMED""); //$NON-NLS-1$ //$NON-NLS-2$","return ""Unresolved type "" + ((compoundName != null) ? CharOperation.toString(compoundName) : ""UNNAMED""); //$NON-NLS-1$ //$NON-NLS-2$","return ""Unresolved type "" + ((compoundName != null) ? CharOperation.toString(compoundName) : ""UNNAMED""); //$NON-NLS-1$ //$NON-NLS-2$",82,82,0
"83","10071.txt","synchronized (this) {","synchronized (this.ast) {","synchronized (this.ast) {",360,360,0
"84","10072.txt","import org.eclipse.ui.statushandlers.StatusManager;","import org.eclipse.ui.statushandling.StatusManager;","import org.eclipse.ui.statushandling.StatusManager;",45,45,0
"85","10073.txt","false);","true);","true);",116,116,0
"86","10074.txt","dialog = new StatusDialog(ProgressManagerUtil.getDefaultParent(),","dialog = new StatusDialog(ProgressManagerUtil.getNonModalShell(),","dialog = new StatusDialog(ProgressManagerUtil.getNonModalShell(),",201,201,0
"87","10075.txt","Chunk.paintChunkList(chunks,gfx,","Chunk.paintChunkList(seg,chunks,gfx,","Chunk.paintChunkList(seg,chunks,gfx,",286,286,0
"88","10076.txt","dnsSRVRecord(dnsName _name, short _dclass, int _ttl, MyStringTokenizer st)","dnsSRVRecord(dnsName _name, short _dclass, int _ttl, StringTokenizer st)","dnsSRVRecord(dnsName _name, short _dclass, int _ttl, StringTokenizer st)",38,38,0
"89","10077.txt","return Boolean.valueOf(rootElement.getAttribute(""visible"")).booleanValue();","return new Boolean(rootElement.getAttribute(""visible"")).booleanValue();","return new Boolean(rootElement.getAttribute(""visible"")).booleanValue();",70,70,0
"90","10078.txt","throw st.exception(""no text format defined for TSIG"");","throw new TextParseException(""no text format defined for TSIG"");","throw new TextParseException(""no text format defined for TSIG"");",116,116,0
"91","10079.txt","final View view = GUIUtilities.getView(this);","final View view = EditAction.getView(this);","final View view = EditAction.getView(this);",48,48,0
"92","1008.txt","if (rcode == Rcode.NXDOMAIN || soa != null || ns == null) {","if (rcode == Rcode.NXDOMAIN || soa != null || ns == null)","if (rcode == Rcode.NXDOMAIN || soa != null || ns == null)",683,683,0
"93","10080.txt","import org.frapuccino.swing.SortedJTree;","import org.frappucino.swing.SortedJTree;","import org.frappucino.swing.SortedJTree;",40,40,0
"94","10081.txt","return ""indexing ""/*nonNLS*/ + resource.getName();","return ""indexing "" + resource.getName(); //$NON-NLS-1$","return ""indexing "" + resource.getName(); //$NON-NLS-1$",72,72,0
"95","10082.txt",".environment()",".problemReporter()",".problemReporter()",626,626,0
"96","10083.txt","import org.junit.runners.model.Statement;","import org.junit.runners.Statement;","import org.junit.runners.Statement;",3,3,0
"97","10084.txt","static String[] allModelElements = {","private static String[] allModelElements = {","private static String[] allModelElements = {",64,64,0
"98","10085.txt","public String getDefaultChild() {","public Class getDefaultChild() {","public String getName() {",288,292,0.999329299739067
"99","10086.txt","HashSet visitedProjects = new HashSet(2);","Hashtable visitedProjects = new Hashtable(2);","Hashtable visitedProjects = new Hashtable(2);",123,123,0
"100","10087.txt","private static String ellipsis = ProgressMessages.ProgressFloatingWindow_EllipsisValue;","private static String ellipsis = ProgressMessages.ProgressFloatingWindow_EllipsisValue; //$NON-NLS-1$","private static String ellipsis = ProgressMessages.ProgressFloatingWindow_EllipsisValue; //$NON-NLS-1$",49,49,0
"101","10088.txt","if (possible != null && possible != foundMethod) {","if (possible != null) {","if (possible != null) {",1866,1866,0
"102","10089.txt","IndexManager indexManager = JavaModelManager.getIndexManager();","IndexManager indexManager = JavaModelManager.getJavaModelManager().getIndexManager();","IndexManager indexManager = JavaModelManager.getJavaModelManager().getIndexManager();",84,84,0
"103","1009.txt","//	    if( ctx.getDebug() > 5 ) xh.setDebug( 3 );","if( ctx.getDebug() > 5 ) xh.setDebug( 2 );","if( ctx.getDebug() > 5 ) xh.setDebug( 2 );",52,52,0
"104","10090.txt","Assert.isTrue(false, ""completion requestor cannot be null""); //$NON-NLS-1$","Assert.isTrue(false, ""Completion requestor cannot be null""); //$NON-NLS-1$","Assert.isTrue(false, ""Completion requestor cannot be null""); //$NON-NLS-1$",62,62,0
"105","10091.txt","return JFaceResources.getImageRegistry().get(Dialog.DLG_IMG_WARNING);","return JFaceResources.getImageRegistry().get(Dialog.DLG_IMG_LOCKED);","return JFaceResources.getImageRegistry().get(Dialog.DLG_IMG_LOCKED);",343,343,0
"106","10092.txt","return zipFilename.equalsIgnoreCase(((ClasspathJar) o).zipFilename);","return zipFilename.equals(((ClasspathJar) o).zipFilename);","return zipFilename.equals(((ClasspathJar) o).zipFilename);",64,64,0
"107","10093.txt","return org.eclipse.jdt.internal.core.Util.bind(""operation.copyResourceProgress""); //$NON-NLS-1$","return Util.bind(""operation.copyResourceProgress""); //$NON-NLS-1$","return Util.bind(""operation.copyResourceProgress""); //$NON-NLS-1$",163,163,0
"108","10094.txt","palette.add(createToolButton(IMAGES + ""OCONN"", ""Split Connection Tool"", tool));","palette.add(createToolButton(IMAGES + ""OCONN"", ""Elbow Connection Tool"", tool));","palette.add(createToolButton(IMAGES + ""OCONN"", ""Elbow Connection Tool"", tool));",135,106,1
"109","10095.txt","//app.setServicesProvider(delegate);","app.setServicesProvider(delegate);","app.setServicesProvider(delegate);",61,61,0
"110","10096.txt","import org.eclipse.ui.services.IServiceWithSources;","import org.eclipse.ui.IServiceWithSources;","import org.eclipse.ui.IServiceWithSources;",19,19,0
"111","10097.txt","//;",";","// mail doesn't exist on server",791,350,1
"112","10098.txt","if (s == null || s.length() == 0 || !Character.isDigit(s.charAt(0)))","if (s == null || !Character.isDigit(s.charAt(0)))","if (s == null || !Character.isDigit(s.charAt(0)))",31,31,0
"113","10099.txt","ColumbaLogger.log.info(","ColumbaLogger.log.debug(","ColumbaLogger.log.debug(",235,235,0
"114","101.txt","//FigureChangeListener originalListener = listener();","FigureChangeListener originalListener = listener();","FigureChangeListener originalListener = listener();",436,436,0
"115","1010.txt","if (!valueType.leafComponentType().isAnnotationType()) { // check annotation type and also reject null literal","if (!valueType.leafComponentType().isAnnotationType()) { // null literal","if (leafType.isAnnotationType() && !valueType.isAnnotationType()) {",162,101,1
"116","10100.txt","static class ListItem {","class ListItem {","class ListItem {",82,82,0
"117","10101.txt","this.javadocParser.checkDocComment = false;","this.javadocParser.checkJavadoc = false;","this.javadocParser.checkJavadoc = false;",69,69,0
"118","10102.txt","final TypeBinding collectionTypeBinding = collection.resolvedType.erasure();","final TypeBinding collectionTypeBinding = collection.resolvedType;","final TypeBinding collectionTypeBinding = collection.resolvedType;",183,183,0
"119","10103.txt","import org.eclipse.core.internal.commands.operations.OperationHistory;","import org.eclipse.core.commands.operations.internal.OperationHistory;","import org.eclipse.core.commands.operations.internal.OperationHistory;",18,18,0
"120","10104.txt","import org.columba.core.gui.base.CTabbedPane;","import org.columba.core.gui.util.CTabbedPane;","import org.columba.core.gui.util.CTabbedPane;",40,40,0
"121","10105.txt","if ((flowInfo.tagBits & FlowInfo.UNREACHABLE_OR_DEAD) == 0) {","if ((flowInfo.tagBits & FlowInfo.UNREACHABLE) == 0) {","if ((flowInfo.tagBits & FlowInfo.UNREACHABLE) == 0) {",64,64,0
"122","10106.txt","vfolder.getConfiguration().setInteger(""property"", ""source_uid"",","vfolder.getConfiguration().set(""property"", ""source_uid"",","vfolder.getConfiguration().set(""property"", ""source_uid"",",99,99,0
"123","10107.txt","this.parser = new MatchLocatorParser(problemReporter, options.assertMode);","this.parser = new MatchLocatorParser(problemReporter, options.getAssertMode());","this.parser = new MatchLocatorParser(problemReporter, options.getAssertMode());",853,853,0
"124","10108.txt","//System.out.println(""trashing model element from diagram"");","System.out.println(""trashing model element from diagram"");","System.out.println(""trashing model element from diagram"");",219,219,0
"125","10109.txt","@since 1.0","@since 0.9.2","@since 0.9.2",15,15,0
"126","1011.txt","while (--index > last && !Character.isUpperCase(qualifiedPackageName.charAt(index))){/*empty*/}","while (--index > last && !Character.isUpperCase(qualifiedPackageName.charAt(index)));","while (--index > last && !Character.isUpperCase(qualifiedPackageName.charAt(index)));",55,55,0
"127","10110.txt","import org.eclipse.jdt.core.compiler.CharOperation;","import org.eclipse.jdt.internal.compiler.util.CharOperation;","import org.eclipse.jdt.internal.compiler.util.CharOperation;",17,17,0
"128","10111.txt","folder.setBackground(colors[1]);","folder.setBackground(colors, new int [] {100}, false);","viewForm.setBackground(colors[1]);",153,156,0.99505475368673
"129","10112.txt","_topSplit.setDividerLocation(270);","_topSplit.setDividerLocation(250);","_topSplit.setDividerLocation(250);",295,295,0
"130","10113.txt","fireMappingChanged(event.getProperty(), event.getOldValue(), event.getNewValue());","fireColorMappingChanged(event.getProperty(), (RGB)event.getOldValue(), (RGB)event.getNewValue());","fireColorMappingChanged(event.getProperty(), (RGB)event.getOldValue(), (RGB)event.getNewValue());",33,33,0
"131","10114.txt","return Util.bind(""operation.moveResourceProgress""/*nonNLS*/);","return Util.bind(""operation.moveResourceProgress""); //$NON-NLS-1$","return Util.bind(""operation.moveResourceProgress""); //$NON-NLS-1$",30,30,0
"132","10115.txt","signature = base64.fromString(st.remainingTokens());","signature = base64.fromString(st.nextToken());","signature = base64.fromString(st.nextToken());",98,98,0
"133","10116.txt","return Localizer.localize (""Tree"", ""misc.class.subclass"");","return Localizer.localize (""Tree"", ""Class->Subclass"");","return Localizer.localize (""Tree"", ""Class->Subclass"");",40,40,0
"134","10117.txt","scheduler.queueForDecoration(elements[i],adapted,true,null);","scheduler.queueForDecoration(elements[i],adapted,true);","scheduler.queueForDecoration(elements[i],adapted,true);",453,453,0
"135","10118.txt","import org.columba.core.main.MainInterface;","import org.columba.main.MainInterface;","import org.columba.main.MainInterface;",18,18,0
"136","10119.txt","s = s + ""return ""; //$NON-NLS-1$","s = s + ""return ""/*nonNLS*/;","s = s + ""return ""/*nonNLS*/;",228,228,0
"137","1012.txt","return ((System.currentTimeMillis() - before)*1000.0)/runLength;","return (System.currentTimeMillis() - before)*1000.0/runLength;","return (System.currentTimeMillis() - before)*1000.0/runLength;",272,272,0
"138","10120.txt","if ((start != null) && (end != null)) {","if (start != null && end != null) {","if (start != null && end != null) {",327,327,0
"139","10121.txt","toUser.getEmail());","toUser.getUserName());","toUser.getUserName());",118,118,0
"140","10122.txt","List getActivityRequirementBindingDefinitions();","List getActivityActivityBindingDefinitions();","List getActivityPatternBindingDefinitions();",20,24,0.999329299739067
"141","10123.txt","(AddressbookFrameController) frameMediator;","(AddressbookFrameController) frameController;","(AddressbookFrameController) frameController;",63,63,0
"142","10124.txt","case TypeIds.T_JavaLangString :","case TypeIds.T_String :","case TypeIds.T_String :",89,89,0
"143","10125.txt","OutputStreamWriter fw = new OutputStreamWriter(zos, ""UTF-8"");","OutputStreamWriter fw = new OutputStreamWriter(zos);","OutputStreamWriter fw = new OutputStreamWriter(zos);",399,399,0
"144","10126.txt","if (o[0] instanceof JMenuItem && o[1].equals(PluggableMenu.KEY_TOOLS)) {","if (o[0] instanceof JMenuItem && o[1].equals(""Tools"")) {","if (o[0] instanceof JMenuItem && o[1].equals(""Tools"")) {",78,78,0
"145","10127.txt","IClasspathEntry[] classpath = project.getResolvedClasspath();","IClasspathEntry[] classpath = project.getResolvedClasspath(true/*ignoreUnresolvedEntry*/, false/*don't generateMarkerOnError*/, false/*don't returnResolutionInProgress*/);","IClasspathEntry[] classpath = project.getResolvedClasspath(true/*ignoreUnresolvedEntry*/, false/*don't generateMarkerOnError*/, false/*don't returnResolutionInProgress*/);",63,63,0
"146","10128.txt","super(ProjectBrowser.getInstance(), ""Critics"");","super(ProjectBrowser.TheInstance, ""Critics"");","super(ProjectBrowser.TheInstance, ""Critics"");",98,98,0
"147","10129.txt","public static final String SIGNATURE= ""INDEX VERSION 1.107""; //$NON-NLS-1$","public static final String SIGNATURE= ""INDEX VERSION 1.106""; //$NON-NLS-1$","public static final String SIGNATURE= ""INDEX VERSION 1.106""; //$NON-NLS-1$",38,38,0
"148","1013.txt","import org.eclipse.ui.internal.csm.commands.ICategoryDefinition;","import org.eclipse.ui.internal.commands.api.ICategoryDefinition;","import org.eclipse.ui.internal.commands.api.ICategoryDefinition;",21,21,0
